round,accuracy,clean_accuracy,malicious_accuracy
1,0.0086,0.01075,0.0
2,0.0099,0.012375,0.0
3,0.0117,0.013875,0.003
4,0.0192,0.020875,0.0125
5,0.0188,0.019375,0.0165
6,0.0205,0.02225,0.0135
7,0.0169,0.017375,0.015
8,0.015,0.01525,0.014
9,0.016,0.017625,0.0095
10,0.0093,0.01075,0.0035
11,0.0139,0.017,0.0015
12,0.01,0.0125,0.0
13,0.01,0.0125,0.0
14,0.01,0.0125,0.0
15,0.01,0.0125,0.0
16,0.01,0.0125,0.0
17,0.01,0.0125,0.0
18,0.01,0.0125,0.0
19,0.01,0.0125,0.0
20,0.01,0.0125,0.0
21,0.01,0.0125,0.0
22,0.01,0.0125,0.0
23,0.01,0.0125,0.0
24,0.01,0.0125,0.0
25,0.01,0.0125,0.0
26,0.01,0.0125,0.0
27,0.01,0.0125,0.0
28,0.01,0.0125,0.0
29,0.01,0.0125,0.0
30,0.01,0.0125,0.0
31,0.01,0.0125,0.0
32,0.01,0.0125,0.0
33,0.01,0.0125,0.0
34,0.01,0.0125,0.0
35,0.01,0.0125,0.0
36,0.01,0.0125,0.0
37,0.01,0.0125,0.0
38,0.01,0.0125,0.0
39,0.01,0.0125,0.0
40,0.01,0.0125,0.0
41,0.01,0.0125,0.0
42,0.01,0.0125,0.0
43,0.01,0.0125,0.0
44,0.01,0.0125,0.0
45,0.01,0.0125,0.0
46,0.01,0.0125,0.0
47,0.01,0.0125,0.0
48,0.01,0.0125,0.0
49,0.01,0.0125,0.0
50,0.01,0.0125,0.0
