round,accuracy,clean_accuracy,malicious_accuracy
1,0.0096,0.0096,0.0
2,0.0111,0.0111,0.0
3,0.0205,0.0205,0.0
4,0.0318,0.0318,0.0
5,0.0366,0.0366,0.0
6,0.0431,0.0431,0.0
7,0.0545,0.0545,0.0
8,0.0597,0.0597,0.0
9,0.0679,0.0679,0.0
10,0.0738,0.0738,0.0
11,0.0867,0.0867,0.0
12,0.0944,0.0944,0.0
13,0.1034,0.1034,0.0
14,0.1098,0.1098,0.0
15,0.1176,0.1176,0.0
16,0.1232,0.1232,0.0
17,0.1292,0.1292,0.0
18,0.1357,0.1357,0.0
19,0.1435,0.1435,0.0
20,0.148,0.148,0.0
21,0.1538,0.1538,0.0
22,0.1587,0.1587,0.0
23,0.1642,0.1642,0.0
24,0.1691,0.1691,0.0
25,0.175,0.175,0.0
26,0.1792,0.1792,0.0
27,0.1836,0.1836,0.0
28,0.1882,0.1882,0.0
29,0.1921,0.1921,0.0
30,0.1963,0.1963,0.0
31,0.2002,0.2002,0.0
32,0.2049,0.2049,0.0
33,0.2074,0.2074,0.0
34,0.2115,0.2115,0.0
35,0.216,0.216,0.0
36,0.2181,0.2181,0.0
37,0.2209,0.2209,0.0
38,0.2249,0.2249,0.0
39,0.2267,0.2267,0.0
40,0.2302,0.2302,0.0
41,0.2323,0.2323,0.0
42,0.2345,0.2345,0.0
43,0.2369,0.2369,0.0
44,0.2398,0.2398,0.0
45,0.2432,0.2432,0.0
46,0.2455,0.2455,0.0
47,0.2483,0.2483,0.0
48,0.2527,0.2527,0.0
49,0.2541,0.2541,0.0
50,0.2576,0.2576,0.0
