round,accuracy,clean_accuracy,malicious_accuracy
1,0.0096,0.012,0.0
2,0.0111,0.013875,0.0
3,0.0208,0.018125,0.0315
4,0.0317,0.033,0.0265
5,0.0363,0.041625,0.015
6,0.0429,0.047375,0.025
7,0.0548,0.057375,0.0445
8,0.0603,0.059625,0.063
9,0.0669,0.065625,0.072
10,0.0737,0.070875,0.085
11,0.0865,0.08375,0.0975
12,0.0937,0.088375,0.115
13,0.1034,0.098,0.125
14,0.1108,0.10425,0.137
15,0.1181,0.112,0.1425
16,0.123,0.115875,0.1515
17,0.1294,0.12225,0.158
18,0.1358,0.128375,0.1655
19,0.1434,0.13625,0.172
20,0.1476,0.140625,0.1755
21,0.1535,0.146375,0.182
22,0.1583,0.151,0.1875
23,0.165,0.159375,0.1875
24,0.1704,0.165,0.192
25,0.1746,0.169,0.197
26,0.1797,0.1735,0.2045
27,0.1831,0.177125,0.207
28,0.1883,0.183625,0.207
29,0.192,0.18675,0.213
30,0.1969,0.19175,0.2175
31,0.2008,0.196375,0.2185
32,0.2045,0.199875,0.223
33,0.2082,0.204,0.225
34,0.211,0.206875,0.2275
35,0.2145,0.211,0.2285
36,0.2183,0.215125,0.231
37,0.22,0.21725,0.231
38,0.2237,0.221375,0.233
39,0.2268,0.224625,0.2355
40,0.2321,0.229875,0.241
41,0.2326,0.230625,0.2405
42,0.2356,0.23375,0.243
43,0.2388,0.237125,0.2455
44,0.2413,0.23875,0.2515
45,0.2452,0.24375,0.251
46,0.2463,0.245375,0.25
47,0.25,0.248875,0.2545
48,0.253,0.253,0.253
49,0.2561,0.255375,0.259
50,0.2583,0.257875,0.26
