round,loss
1,0.049875
2,0.075625
3,0.135375
4,0.16775
5,0.1719375
6,0.1631875
7,0.163875
8,0.1388125
9,0.1328125
10,0.1230625
11,0.1186875
12,0.1145625
13,0.0779375
14,0.095625
15,0.081625
16,0.073625
17,0.0754375
18,0.069
19,0.056
20,0.059125
21,0.0530625
22,0.0693125
23,0.051875
24,0.0698125
25,0.055375
26,0.0634375
27,0.061375
28,0.025
29,0.025
30,0.025
31,0.025
32,0.025
33,0.025
34,0.025
35,0.025
36,0.025
37,0.025
38,0.025
39,0.025
40,0.025
41,0.025
42,0.025
43,0.025
44,0.025
45,0.025
46,0.025
47,0.025
48,0.025
49,0.025
50,0.025
