round,loss
1,0.0688125
2,0.1149375
3,0.1884375
4,0.2516875
5,0.492125
6,0.5054375
7,0.5540625
8,0.5756875
9,0.599375
10,0.6090625
11,0.6248125
12,0.6344375
13,0.642125
14,0.6499375
15,0.6585
16,0.665125
17,0.6686875
18,0.6750625
19,0.679875
20,0.684125
21,0.6878125
22,0.69275
23,0.6968125
24,0.7000625
25,0.701625
26,0.7063125
27,0.70925
28,0.71175
29,0.71425
30,0.7165
31,0.7189375
32,0.7208125
33,0.7224375
34,0.7244375
35,0.726375
36,0.7281875
37,0.7295
38,0.730125
39,0.7314375
40,0.7318125
41,0.7331875
42,0.7344375
43,0.7350625
44,0.7354375
45,0.7354375
46,0.736625
47,0.7375625
48,0.7393125
49,0.73925
50,0.7403125
