round,accuracy,clean_accuracy,malicious_accuracy
1,0.0688125,0.0688125,0.0
2,0.1149375,0.1149375,0.0
3,0.1884375,0.1884375,0.0
4,0.2516875,0.2516875,0.0
5,0.492125,0.492125,0.0
6,0.5054375,0.5054375,0.0
7,0.5540625,0.5540625,0.0
8,0.5756875,0.5756875,0.0
9,0.599375,0.599375,0.0
10,0.6090625,0.6090625,0.0
11,0.6248125,0.6248125,0.0
12,0.6344375,0.6344375,0.0
13,0.642125,0.642125,0.0
14,0.6499375,0.6499375,0.0
15,0.6585,0.6585,0.0
16,0.665125,0.665125,0.0
17,0.6686875,0.6686875,0.0
18,0.6750625,0.6750625,0.0
19,0.679875,0.679875,0.0
20,0.684125,0.684125,0.0
21,0.6878125,0.6878125,0.0
22,0.69275,0.69275,0.0
23,0.6968125,0.6968125,0.0
24,0.7000625,0.7000625,0.0
25,0.701625,0.701625,0.0
26,0.7063125,0.7063125,0.0
27,0.70925,0.70925,0.0
28,0.71175,0.71175,0.0
29,0.71425,0.71425,0.0
30,0.7165,0.7165,0.0
31,0.7189375,0.7189375,0.0
32,0.7208125,0.7208125,0.0
33,0.7224375,0.7224375,0.0
34,0.7244375,0.7244375,0.0
35,0.726375,0.726375,0.0
36,0.7281875,0.7281875,0.0
37,0.7295,0.7295,0.0
38,0.730125,0.730125,0.0
39,0.7314375,0.7314375,0.0
40,0.7318125,0.7318125,0.0
41,0.7331875,0.7331875,0.0
42,0.7344375,0.7344375,0.0
43,0.7350625,0.7350625,0.0
44,0.7354375,0.7354375,0.0
45,0.7354375,0.7354375,0.0
46,0.736625,0.736625,0.0
47,0.7375625,0.7375625,0.0
48,0.7393125,0.7393125,0.0
49,0.73925,0.73925,0.0
50,0.7403125,0.7403125,0.0
