round,loss
1,0.0688125
2,0.1144375
3,0.203375
4,0.2636875
5,0.479875
6,0.5126875
7,0.557125
8,0.5781875
9,0.5989375
10,0.611375
11,0.625625
12,0.633875
13,0.643625
14,0.650625
15,0.657875
16,0.665625
17,0.6693125
18,0.6750625
19,0.6800625
20,0.684625
21,0.688375
22,0.692
23,0.697
24,0.6996875
25,0.7025
26,0.7068125
27,0.7086875
28,0.7104375
29,0.713125
30,0.715875
31,0.7195625
32,0.7211875
33,0.723625
34,0.725125
35,0.726
36,0.727
37,0.728875
38,0.7305
39,0.73075
40,0.7334375
41,0.7335625
42,0.734625
43,0.735875
44,0.7359375
45,0.7376875
46,0.738
47,0.7385625
48,0.7403125
49,0.7406875
50,0.7413125
