round,accuracy,clean_accuracy,malicious_accuracy
1,0.0688125,0.08328125,0.0109375
2,0.1144375,0.128359375,0.05875
3,0.203375,0.22765625,0.10625
4,0.2636875,0.269609375,0.24
5,0.479875,0.48359375,0.465
6,0.5126875,0.5265625,0.4571875
7,0.557125,0.56421875,0.52875
8,0.5781875,0.586875,0.5434375
9,0.5989375,0.61015625,0.5540625
10,0.611375,0.623515625,0.5628125
11,0.625625,0.638359375,0.5746875
12,0.633875,0.648125,0.576875
13,0.643625,0.655625,0.595625
14,0.650625,0.661875,0.605625
15,0.657875,0.6675,0.619375
16,0.665625,0.673125,0.635625
17,0.6693125,0.676953125,0.63875
18,0.6750625,0.68140625,0.6496875
19,0.6800625,0.685546875,0.658125
20,0.684625,0.6878125,0.671875
21,0.688375,0.690859375,0.6784375
22,0.692,0.693984375,0.6840625
23,0.697,0.699375,0.6875
24,0.6996875,0.703515625,0.684375
25,0.7025,0.706484375,0.6865625
26,0.7068125,0.710703125,0.69125
27,0.7086875,0.711953125,0.695625
28,0.7104375,0.713125,0.6996875
29,0.713125,0.717109375,0.6971875
30,0.715875,0.71734375,0.71
31,0.7195625,0.722578125,0.7075
32,0.7211875,0.72203125,0.7178125
33,0.723625,0.72515625,0.7175
34,0.725125,0.726328125,0.7203125
35,0.726,0.726640625,0.7234375
36,0.727,0.727265625,0.7259375
37,0.728875,0.729765625,0.7253125
38,0.7305,0.731328125,0.7271875
39,0.73075,0.73125,0.72875
40,0.7334375,0.734921875,0.7275
41,0.7335625,0.734296875,0.730625
42,0.734625,0.736640625,0.7265625
43,0.735875,0.73703125,0.73125
44,0.7359375,0.7371875,0.7309375
45,0.7376875,0.740390625,0.726875
46,0.738,0.737890625,0.7384375
47,0.7385625,0.74203125,0.7246875
48,0.7403125,0.741328125,0.73625
49,0.7406875,0.74390625,0.7278125
50,0.7413125,0.743046875,0.734375
