round,accuracy,clean_accuracy,malicious_accuracy
1,0.8875,0.884875,0.898
2,0.9425,0.9395,0.9545
3,0.9569,0.954125,0.968
4,0.9616,0.95925,0.971
5,0.9632,0.960625,0.9735
6,0.9631,0.9605,0.9735
7,0.9631,0.96,0.9755
8,0.9619,0.959,0.9735
9,0.9634,0.96025,0.976
10,0.961,0.958375,0.9715
11,0.9631,0.959875,0.976
12,0.9613,0.95875,0.9715
13,0.9603,0.957375,0.972
14,0.9597,0.957,0.9705
15,0.9624,0.9595,0.974
16,0.9618,0.96,0.969
17,0.9626,0.961,0.969
18,0.9601,0.958875,0.965
19,0.9614,0.960375,0.9655
20,0.9611,0.959125,0.969
21,0.9606,0.959625,0.9645
22,0.9514,0.950625,0.9545
23,0.9497,0.946625,0.962
24,0.9497,0.947875,0.957
25,0.9467,0.94425,0.9565
26,0.9573,0.954625,0.968
27,0.9589,0.9565,0.9685
28,0.9524,0.949,0.966
29,0.9538,0.9515,0.963
30,0.9531,0.949875,0.966
31,0.9518,0.949125,0.9625
32,0.9513,0.949125,0.96
33,0.9532,0.9515,0.96
34,0.9468,0.94475,0.955
35,0.9505,0.94775,0.9615
36,0.9503,0.948,0.9595
37,0.9489,0.947,0.9565
38,0.9467,0.9435,0.9595
39,0.9337,0.9305,0.9465
40,0.9454,0.94225,0.958
41,0.9393,0.936,0.9525
42,0.9471,0.94475,0.9565
43,0.9301,0.926,0.9465
44,0.92,0.9165,0.934
45,0.9175,0.915125,0.927
46,0.8911,0.887625,0.905
47,0.9204,0.917,0.934
48,0.9006,0.8965,0.917
49,0.8923,0.888625,0.907
50,0.8755,0.86925,0.9005
