round,accuracy,clean_accuracy,malicious_accuracy
1,0.916,0.916,0.0
2,0.9556,0.9556,0.0
3,0.9656,0.9656,0.0
4,0.9726,0.9726,0.0
5,0.977,0.977,0.0
6,0.9796,0.9796,0.0
7,0.9816,0.9816,0.0
8,0.9834,0.9834,0.0
9,0.9848,0.9848,0.0
10,0.9854,0.9854,0.0
11,0.9855,0.9855,0.0
12,0.9863,0.9863,0.0
13,0.987,0.987,0.0
14,0.987,0.987,0.0
15,0.9872,0.9872,0.0
16,0.9876,0.9876,0.0
17,0.9882,0.9882,0.0
18,0.9889,0.9889,0.0
19,0.989,0.989,0.0
20,0.9895,0.9895,0.0
21,0.9898,0.9898,0.0
22,0.9903,0.9903,0.0
23,0.9901,0.9901,0.0
24,0.9903,0.9903,0.0
25,0.9904,0.9904,0.0
26,0.9906,0.9906,0.0
27,0.991,0.991,0.0
28,0.9912,0.9912,0.0
29,0.9911,0.9911,0.0
30,0.9914,0.9914,0.0
31,0.9916,0.9916,0.0
32,0.9916,0.9916,0.0
33,0.9921,0.9921,0.0
34,0.992,0.992,0.0
35,0.9922,0.9922,0.0
36,0.9923,0.9923,0.0
37,0.9923,0.9923,0.0
38,0.9925,0.9925,0.0
39,0.9923,0.9923,0.0
40,0.9926,0.9926,0.0
41,0.9925,0.9925,0.0
42,0.9927,0.9927,0.0
43,0.9927,0.9927,0.0
44,0.9929,0.9929,0.0
45,0.9928,0.9928,0.0
46,0.9929,0.9929,0.0
47,0.9927,0.9927,0.0
48,0.9928,0.9928,0.0
49,0.9928,0.9928,0.0
50,0.9928,0.9928,0.0
