round,accuracy,clean_accuracy,malicious_accuracy
1,0.916,0.91275,0.929
2,0.9556,0.9525,0.968
3,0.9656,0.9625,0.978
4,0.9728,0.970125,0.9835
5,0.977,0.974125,0.9885
6,0.9796,0.976875,0.9905
7,0.9815,0.979125,0.991
8,0.9831,0.98125,0.9905
9,0.9847,0.982875,0.992
10,0.9853,0.98325,0.9935
11,0.9857,0.98375,0.9935
12,0.9862,0.984375,0.9935
13,0.9869,0.98525,0.9935
14,0.9873,0.98575,0.9935
15,0.9874,0.985875,0.9935
16,0.9879,0.9865,0.9935
17,0.9884,0.986875,0.9945
18,0.9889,0.9875,0.9945
19,0.9892,0.987875,0.9945
20,0.9897,0.98825,0.9955
21,0.99,0.988625,0.9955
22,0.9903,0.989,0.9955
23,0.9904,0.989125,0.9955
24,0.9905,0.98925,0.9955
25,0.9906,0.989375,0.9955
26,0.9909,0.98975,0.9955
27,0.991,0.989875,0.9955
28,0.9912,0.990125,0.9955
29,0.9912,0.990125,0.9955
30,0.9915,0.990375,0.996
31,0.9916,0.9905,0.996
32,0.9918,0.99075,0.996
33,0.9918,0.99075,0.996
34,0.992,0.991,0.996
35,0.9922,0.99125,0.996
36,0.9922,0.99125,0.996
37,0.9923,0.991375,0.996
38,0.9924,0.9915,0.996
39,0.9923,0.991375,0.996
40,0.9924,0.9915,0.996
41,0.9926,0.99175,0.996
42,0.9927,0.991875,0.996
43,0.9929,0.992125,0.996
44,0.9929,0.992125,0.996
45,0.9928,0.992,0.996
46,0.9928,0.992,0.996
47,0.9929,0.992,0.9965
48,0.993,0.992125,0.9965
49,0.9928,0.992,0.996
50,0.9928,0.992,0.996
