round,accuracy,clean_accuracy,malicious_accuracy
1,0.8882,0.882,0.913
2,0.8669,0.865125,0.874
3,0.9024,0.90025,0.911
4,0.9033,0.899375,0.919
5,0.9302,0.926,0.947
6,0.9186,0.916,0.929
7,0.9213,0.918625,0.932
8,0.9298,0.92775,0.938
9,0.9207,0.91725,0.9345
10,0.9456,0.943,0.956
11,0.9368,0.933375,0.9505
12,0.9026,0.90125,0.908
13,0.9265,0.924625,0.934
14,0.9259,0.92475,0.9305
15,0.9157,0.914125,0.922
16,0.8817,0.88225,0.8795
17,0.8902,0.891625,0.8845
18,0.8647,0.864875,0.864
19,0.8101,0.810875,0.807
20,0.5843,0.582,0.5935
21,0.7816,0.78025,0.787
22,0.6818,0.6835,0.675
23,0.6299,0.632375,0.62
24,0.4782,0.477125,0.4825
25,0.3405,0.3415,0.3365
26,0.4104,0.413125,0.3995
27,0.2907,0.29125,0.2885
28,0.2202,0.22175,0.214
29,0.0975,0.098125,0.095
30,0.1,0.100875,0.0965
31,0.1572,0.159375,0.1485
32,0.0974,0.098,0.095
33,0.1136,0.112875,0.1165
34,0.1135,0.112875,0.116
35,0.1135,0.112875,0.116
36,0.1135,0.112875,0.116
37,0.1135,0.112875,0.116
38,0.1135,0.112875,0.116
39,0.1135,0.112875,0.116
40,0.1135,0.112875,0.116
41,0.098,0.09725,0.101
42,0.098,0.09725,0.101
43,0.098,0.09725,0.101
44,0.098,0.09725,0.101
45,0.098,0.09725,0.101
46,0.098,0.09725,0.101
47,0.098,0.09725,0.101
48,0.098,0.09725,0.101
49,0.098,0.09725,0.101
50,0.098,0.09725,0.101
