round,loss
1,0.043125
2,0.0685625
3,0.066125
4,0.09225
5,0.0815625
6,0.1109375
7,0.0971875
8,0.111375
9,0.0815
10,0.0939375
11,0.0768125
12,0.0793125
13,0.0725
14,0.064625
15,0.06
16,0.0771875
17,0.1066875
18,0.0838125
19,0.1089375
20,0.1095625
21,0.1124375
22,0.079125
23,0.104625
24,0.089375
25,0.025
26,0.025
27,0.025
28,0.025
29,0.025
30,0.025
31,0.025
32,0.025
33,0.025
34,0.025
35,0.025
36,0.025
37,0.025
38,0.025
39,0.025
40,0.025
41,0.025
42,0.025
43,0.025
44,0.025
45,0.025
46,0.025
47,0.025
48,0.025
49,0.025
50,0.025
