round,accuracy,clean_accuracy,malicious_accuracy
1,0.043125,0.039453125,0.0578125
2,0.0685625,0.06875,0.0678125
3,0.066125,0.0671875,0.061875
4,0.09225,0.083359375,0.1278125
5,0.0815625,0.07890625,0.0921875
6,0.1109375,0.115234375,0.09375
7,0.0971875,0.0928125,0.1146875
8,0.111375,0.111640625,0.1103125
9,0.0815,0.073671875,0.1128125
10,0.0939375,0.0940625,0.0934375
11,0.0768125,0.07015625,0.1034375
12,0.0793125,0.068125,0.1240625
13,0.0725,0.0734375,0.06875
14,0.064625,0.05828125,0.09
15,0.06,0.0559375,0.07625
16,0.0771875,0.074921875,0.08625
17,0.1066875,0.101484375,0.1275
18,0.0838125,0.085390625,0.0775
19,0.1089375,0.1065625,0.1184375
20,0.1095625,0.108671875,0.113125
21,0.1124375,0.103984375,0.14625
22,0.079125,0.08328125,0.0625
23,0.104625,0.1003125,0.121875
24,0.089375,0.0903125,0.085625
25,0.025,0.03125,0.0
26,0.025,0.03125,0.0
27,0.025,0.03125,0.0
28,0.025,0.03125,0.0
29,0.025,0.03125,0.0
30,0.025,0.03125,0.0
31,0.025,0.03125,0.0
32,0.025,0.03125,0.0
33,0.025,0.03125,0.0
34,0.025,0.03125,0.0
35,0.025,0.03125,0.0
36,0.025,0.03125,0.0
37,0.025,0.03125,0.0
38,0.025,0.03125,0.0
39,0.025,0.03125,0.0
40,0.025,0.03125,0.0
41,0.025,0.03125,0.0
42,0.025,0.03125,0.0
43,0.025,0.03125,0.0
44,0.025,0.03125,0.0
45,0.025,0.03125,0.0
46,0.025,0.03125,0.0
47,0.025,0.03125,0.0
48,0.025,0.03125,0.0
49,0.025,0.03125,0.0
50,0.025,0.03125,0.0
