round,loss
1,0.30163636363636365
2,0.3772
3,0.4264
4,0.4742
5,0.5009
6,0.5238
7,0.5444
8,0.5623
9,0.5788
10,0.5943
11,0.6106
12,0.6273
13,0.6391
14,0.6499
15,0.6619
16,0.6701
17,0.6795
18,0.6862
19,0.6938
20,0.7022
21,0.7088
22,0.7142
23,0.7178
24,0.7213
25,0.7251
26,0.7283
27,0.7301
28,0.7337
29,0.7375
30,0.7393
31,0.7425
32,0.745
33,0.7445
34,0.7465
35,0.7478
36,0.7483
37,0.7498
38,0.7499
39,0.7497
40,0.7489
41,0.7506
42,0.7506
43,0.751
44,0.751
45,0.7496
46,0.7517
47,0.7512
48,0.7494
49,0.7512
50,0.7515
