round,accuracy,client_accuracies,loss,client_update_norms,keep_rate
1,0.30163636363636365,"[0.316, 0.318, 0.284, 0.31, 0.268, 0.332, 0.334, 0.288, 0.312, 0.292, 0.264]",1.9791351732882587,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.55
2,0.3772,"[0.392, 0.378, 0.372, 0.342, 0.38, 0.398, 0.4, 0.406, 0.386, 0.376, 0.356, 0.37, 0.38, 0.336, 0.39, 0.322, 0.402, 0.37, 0.384, 0.404]",1.7355777215212584,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
3,0.4264,"[0.444, 0.432, 0.424, 0.444, 0.414, 0.454, 0.448, 0.462, 0.414, 0.424, 0.412, 0.432, 0.388, 0.426, 0.404, 0.416, 0.38, 0.434, 0.456, 0.42]",1.5733205579221248,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
4,0.4742,"[0.498, 0.49, 0.504, 0.452, 0.454, 0.458, 0.484, 0.486, 0.472, 0.47, 0.458, 0.49, 0.488, 0.438, 0.482, 0.49, 0.482, 0.482, 0.45, 0.456]",1.467130846902728,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
5,0.5009,"[0.514, 0.49, 0.504, 0.486, 0.51, 0.468, 0.516, 0.512, 0.526, 0.524, 0.558, 0.464, 0.52, 0.496, 0.448, 0.48, 0.512, 0.502, 0.478, 0.51]",1.3900955457240343,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
6,0.5238,"[0.522, 0.492, 0.522, 0.546, 0.582, 0.504, 0.458, 0.486, 0.528, 0.518, 0.538, 0.53, 0.528, 0.518, 0.54, 0.538, 0.538, 0.504, 0.538, 0.546]",1.331684073805809,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
7,0.5444,"[0.554, 0.606, 0.568, 0.516, 0.536, 0.562, 0.55, 0.556, 0.514, 0.544, 0.552, 0.568, 0.558, 0.528, 0.526, 0.548, 0.542, 0.486, 0.526, 0.548]",1.2817895524203777,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
8,0.5623,"[0.528, 0.574, 0.554, 0.586, 0.564, 0.552, 0.508, 0.57, 0.574, 0.586, 0.564, 0.532, 0.626, 0.566, 0.578, 0.566, 0.536, 0.55, 0.554, 0.578]",1.2371210126206278,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
9,0.5788,"[0.578, 0.566, 0.592, 0.606, 0.52, 0.626, 0.594, 0.592, 0.58, 0.558, 0.574, 0.55, 0.58, 0.614, 0.576, 0.55, 0.594, 0.57, 0.574, 0.582]",1.1931605389341713,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
10,0.5943,"[0.586, 0.564, 0.594, 0.6, 0.588, 0.582, 0.604, 0.63, 0.546, 0.616, 0.598, 0.602, 0.578, 0.596, 0.638, 0.6, 0.584, 0.61, 0.572, 0.598]",1.1518994657322765,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
