round,accuracy,client_accuracies,loss,client_update_norms,keep_rate
1,0.9169090909090909,"[0.92, 0.964, 0.882, 0.902, 0.908, 0.984, 0.958, 0.878, 0.89, 0.912, 0.888]",0.318657767154615,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.55
2,0.9555,"[0.916, 0.982, 0.952, 0.954, 0.938, 0.976, 0.936, 0.998, 0.986, 0.926, 0.984, 0.958, 0.964, 0.978, 0.932, 0.932, 0.954, 0.982, 0.94, 0.922]",0.14425567090147523,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
3,0.9657,"[0.938, 0.99, 0.99, 0.986, 0.96, 0.944, 0.942, 0.95, 0.996, 0.964, 0.972, 0.944, 0.952, 0.99, 0.97, 0.978, 0.954, 0.938, 0.986, 0.97]",0.10425521232064057,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
4,0.9726,"[0.994, 0.978, 0.976, 0.946, 0.988, 0.962, 0.996, 0.95, 0.99, 0.962, 0.978, 0.96, 0.984, 0.974, 0.942, 0.978, 0.958, 0.956, 0.994, 0.986]",0.0832521383275889,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
5,0.9771,"[0.97, 0.998, 0.97, 0.956, 0.984, 0.99, 0.98, 0.986, 0.982, 0.95, 0.982, 0.99, 0.966, 0.96, 0.996, 0.964, 0.984, 0.994, 0.982, 0.958]",0.07071116207607701,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
6,0.9798,"[0.984, 0.96, 0.964, 0.992, 0.982, 0.992, 0.994, 0.972, 0.986, 0.978, 0.97, 0.986, 0.998, 0.952, 0.988, 0.986, 0.982, 0.964, 0.996, 0.97]",0.0621668513831537,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
7,0.9818,"[0.99, 0.988, 0.986, 0.958, 0.988, 0.998, 0.994, 0.972, 0.964, 0.994, 0.98, 0.982, 0.978, 0.97, 0.996, 0.992, 0.97, 0.97, 0.982, 0.984]",0.055682426269049755,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
8,0.9832,"[0.992, 0.99, 0.994, 0.994, 0.982, 0.996, 0.976, 0.996, 0.99, 0.972, 0.982, 0.982, 0.982, 0.998, 0.982, 0.972, 0.988, 0.964, 0.96, 0.972]",0.05078651225858266,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
9,0.9847,"[0.982, 0.984, 0.992, 0.98, 0.972, 1.0, 0.996, 0.962, 0.996, 0.964, 0.992, 0.98, 0.976, 0.994, 0.992, 0.998, 0.994, 0.978, 0.978, 0.984]",0.04698399251669798,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
10,0.9852,"[0.966, 0.994, 1.0, 0.988, 0.978, 0.994, 0.978, 0.98, 0.982, 0.966, 0.98, 0.992, 0.972, 0.998, 0.984, 0.994, 0.982, 0.998, 0.982, 0.996]",0.04375259990683844,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
