round,loss
1,0.9136363636363637
2,0.9555
3,0.9659
4,0.9725
5,0.9769
6,0.98
7,0.9817
8,0.9831
9,0.9848
10,0.9852
11,0.9855
12,0.9863
13,0.9869
14,0.9872
15,0.9873
16,0.9881
17,0.9886
18,0.9887
19,0.9892
20,0.9895
21,0.9902
22,0.9905
23,0.9903
24,0.9904
25,0.9907
26,0.9911
27,0.9911
28,0.9914
29,0.9913
30,0.9916
31,0.9917
32,0.9918
33,0.992
34,0.9922
35,0.9921
36,0.9924
37,0.9922
38,0.9925
39,0.9924
40,0.9925
41,0.9925
42,0.9927
43,0.9928
44,0.9928
45,0.9928
46,0.9928
47,0.9929
48,0.9928
49,0.9928
50,0.9927
