round,accuracy,client_accuracies,loss,client_update_norms,keep_rate
1,0.9136363636363637,"[0.878, 0.866, 0.984, 0.958, 0.902, 0.954, 0.946, 0.89, 0.862, 0.92, 0.89]",0.31391320542686363,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.55
2,0.9555,"[0.976, 0.964, 0.986, 0.932, 0.998, 0.932, 0.954, 0.954, 0.916, 0.982, 0.978, 0.982, 0.922, 0.936, 0.926, 0.94, 0.984, 0.952, 0.958, 0.938]",0.1442324548952456,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
3,0.9659,"[0.936, 0.94, 0.944, 0.978, 0.99, 0.944, 0.952, 0.99, 0.954, 0.97, 0.97, 0.99, 0.97, 0.954, 0.986, 0.996, 0.944, 0.986, 0.964, 0.96]",0.1042481972664973,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
4,0.9725,"[0.95, 0.986, 0.958, 0.996, 0.988, 0.976, 0.99, 0.996, 0.962, 0.948, 0.974, 0.962, 0.978, 0.994, 0.978, 0.96, 0.942, 0.984, 0.974, 0.954]",0.08328217301277618,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
5,0.9769,"[0.956, 0.99, 0.996, 0.982, 0.998, 0.994, 0.986, 0.972, 0.958, 0.948, 0.966, 0.964, 0.984, 0.982, 0.97, 0.98, 0.956, 0.992, 0.984, 0.98]",0.07060870106633957,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
6,0.98,"[0.972, 0.964, 0.96, 0.986, 0.978, 0.968, 0.996, 0.994, 0.998, 0.99, 0.984, 0.992, 0.968, 0.952, 0.986, 0.982, 0.986, 0.97, 0.992, 0.982]",0.061859013952835086,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
7,0.9817,"[0.982, 0.994, 0.988, 0.99, 0.982, 0.97, 0.97, 0.992, 0.978, 0.994, 0.984, 0.958, 0.97, 0.964, 0.986, 0.976, 0.996, 0.974, 0.988, 0.998]",0.05569863338396317,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
8,0.9831,"[0.99, 0.98, 0.964, 0.998, 0.992, 0.99, 0.994, 0.972, 0.982, 0.996, 0.972, 0.974, 0.988, 0.96, 0.994, 0.982, 0.976, 0.996, 0.982, 0.98]",0.05084968568467048,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
9,0.9848,"[0.998, 0.976, 0.994, 0.996, 0.984, 0.982, 0.99, 0.996, 0.972, 0.98, 0.978, 0.984, 0.978, 0.992, 1.0, 0.964, 0.992, 0.994, 0.98, 0.966]",0.04699764666343072,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
10,0.9852,"[0.994, 0.982, 0.978, 0.982, 0.982, 0.998, 0.994, 1.0, 0.994, 0.972, 0.984, 0.99, 0.998, 0.98, 0.98, 0.992, 0.976, 0.996, 0.966, 0.966]",0.04380582409803537,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
11,0.9855,"[0.982, 0.968, 0.992, 0.994, 0.98, 0.984, 0.982, 0.978, 0.988, 0.974, 0.966, 0.994, 0.98, 0.984, 0.996, 0.978, 1.0, 0.998, 0.998, 0.994]",0.04139079990263781,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
12,0.9863,"[0.998, 0.98, 0.968, 0.994, 0.98, 0.974, 1.0, 0.97, 0.984, 0.98, 0.998, 0.984, 0.988, 0.98, 0.986, 0.998, 0.992, 0.982, 0.996, 0.994]",0.03926288222023686,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
13,0.9869,"[0.996, 0.992, 0.986, 0.968, 0.996, 0.998, 0.996, 0.998, 0.984, 0.982, 0.972, 0.982, 0.998, 0.98, 1.0, 0.988, 0.974, 0.98, 0.984, 0.984]",0.03753909688512067,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
