round,loss
1,0.9174545454545454
2,0.9555
3,0.9657
4,0.9727
5,0.9769
6,0.9797
7,0.9816
8,0.9834
9,0.9847
10,0.9852
11,0.9856
12,0.9861
13,0.9869
14,0.9871
15,0.9872
16,0.9881
17,0.9885
18,0.9888
19,0.9892
20,0.9898
21,0.9901
22,0.9902
23,0.9904
24,0.9906
25,0.9905
26,0.9906
27,0.991
28,0.9911
29,0.9912
30,0.9913
31,0.9916
32,0.992
33,0.9922
34,0.9924
35,0.9924
36,0.9926
37,0.9925
38,0.9923
39,0.9924
40,0.9928
41,0.9926
42,0.9926
43,0.9928
44,0.9929
45,0.9929
46,0.993
47,0.9928
48,0.9929
49,0.9927
50,0.9926
