round,accuracy,client_accuracies,loss,client_update_norms,keep_rate
1,0.9174545454545454,"[0.964, 0.878, 0.908, 0.954, 0.952, 0.95, 0.888, 0.89, 0.898, 0.89, 0.92]",0.3069349189331247,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.55
2,0.9555,"[0.938, 0.932, 0.984, 0.982, 0.976, 0.986, 0.916, 0.998, 0.978, 0.958, 0.922, 0.952, 0.964, 0.94, 0.954, 0.932, 0.954, 0.936, 0.982, 0.926]",0.14425727005800582,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
3,0.9657,"[0.96, 0.978, 0.954, 0.972, 0.986, 0.942, 0.942, 0.99, 0.99, 0.938, 0.954, 0.964, 0.936, 0.946, 0.986, 0.99, 0.95, 0.97, 0.996, 0.97]",0.10409181493814686,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
4,0.9727,"[0.958, 0.976, 0.978, 0.984, 0.978, 0.988, 0.948, 0.942, 0.986, 0.96, 0.978, 0.962, 0.956, 0.994, 0.962, 0.95, 0.974, 0.99, 0.996, 0.994]",0.0832728433122611,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
5,0.9769,"[0.956, 0.982, 0.972, 0.99, 0.986, 0.98, 0.982, 0.956, 0.96, 0.98, 0.948, 0.998, 0.966, 0.964, 0.984, 0.97, 0.994, 0.99, 0.984, 0.996]",0.07073721309097891,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
6,0.9797,"[0.96, 0.996, 0.982, 0.998, 0.964, 0.982, 0.99, 0.986, 0.994, 0.964, 0.984, 0.992, 0.992, 0.952, 0.986, 0.972, 0.966, 0.97, 0.986, 0.978]",0.06208915270572106,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
7,0.9816,"[0.996, 0.974, 0.984, 0.99, 0.968, 0.98, 0.968, 0.998, 0.958, 0.994, 0.976, 0.964, 0.992, 0.982, 0.992, 0.99, 0.986, 0.988, 0.982, 0.97]",0.05567184957671998,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
8,0.9834,"[0.976, 0.996, 0.972, 0.964, 0.982, 0.958, 0.982, 0.982, 0.992, 0.982, 0.982, 0.976, 0.99, 0.988, 0.998, 1.0, 0.97, 0.994, 0.99, 0.994]",0.05076002452810826,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
9,0.9847,"[0.998, 0.978, 0.982, 0.992, 0.996, 0.992, 0.972, 0.976, 0.976, 0.992, 0.962, 0.994, 0.982, 0.98, 0.994, 0.996, 0.984, 1.0, 0.984, 0.964]",0.046909941043531946,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
10,0.9852,"[0.994, 0.982, 0.966, 0.994, 0.998, 0.99, 0.978, 0.982, 1.0, 0.994, 0.972, 0.982, 0.992, 0.998, 0.966, 0.98, 0.996, 0.98, 0.984, 0.976]",0.04393343872172863,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
