round,clean_accuracy,loss,malicious_accuracy,malicious_loss,accuracy,global_loss,client_accuracies,client_update_norms,keep_rate
1,0.916,0.3063736082520336,0.0,0.0,0.916,0.3063736082520336,"[0.882, 0.908, 0.878, 0.866, 0.964, 0.888, 0.954, 0.958, 0.952, 0.902, 0.95, 0.89, 0.946, 0.912, 0.898, 0.984, 0.92, 0.862, 0.89, 0.916]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
2,0.9555000000000003,0.14423805109399837,0.0,0.0,0.9555000000000003,0.14423805109399837,"[0.982, 0.932, 0.932, 0.916, 0.938, 0.954, 0.986, 0.926, 0.958, 0.984, 0.922, 0.976, 0.982, 0.94, 0.964, 0.936, 0.954, 0.998, 0.952, 0.978]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
3,0.9657,0.10417014865706734,0.0,0.0,0.9657,0.10417014865706734,"[0.996, 0.97, 0.986, 0.944, 0.99, 0.94, 0.97, 0.986, 0.936, 0.99, 0.942, 0.978, 0.944, 0.964, 0.95, 0.954, 0.99, 0.96, 0.954, 0.97]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
4,0.9726999999999999,0.08322917188252177,0.0,0.0,0.9726999999999999,0.08322917188252177,"[0.978, 0.956, 0.988, 0.962, 0.994, 0.978, 0.974, 0.942, 0.978, 0.958, 0.948, 0.99, 0.962, 0.96, 0.986, 0.95, 0.984, 0.976, 0.994, 0.996]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
5,0.9768999999999999,0.07084513581612555,0.0,0.0,0.9768999999999999,0.07084513581612555,"[0.994, 0.984, 0.966, 0.956, 0.958, 0.986, 0.982, 0.99, 0.964, 0.998, 0.948, 0.98, 0.972, 0.996, 0.984, 0.97, 0.982, 0.98, 0.958, 0.99]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
6,0.9798,0.06207721584451065,0.0,0.0,0.9798,0.06207721584451065,"[0.964, 0.982, 0.976, 0.992, 0.99, 0.968, 0.996, 0.962, 0.998, 0.982, 0.994, 0.97, 0.986, 0.964, 0.992, 0.986, 0.972, 0.952, 0.984, 0.986]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
7,0.9818,0.05567861526360503,0.0,0.0,0.9818,0.05567861526360503,"[0.982, 0.996, 0.986, 0.974, 0.994, 0.964, 0.992, 0.972, 0.988, 0.974, 0.958, 0.994, 0.97, 0.98, 0.998, 0.986, 0.99, 0.968, 0.988, 0.982]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
8,0.9831999999999997,0.050811213934093755,0.0,0.0,0.9831999999999997,0.050811213934093755,"[0.982, 0.982, 0.99, 0.992, 0.982, 0.99, 0.994, 0.972, 0.958, 0.994, 0.972, 0.974, 0.982, 0.964, 0.976, 0.998, 0.98, 0.99, 0.996, 0.996]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
9,0.9846999999999999,0.04695182422797188,0.0,0.0,0.9846999999999999,0.04695182422797188,"[0.972, 0.992, 0.968, 1.0, 0.978, 0.994, 0.996, 0.996, 0.976, 0.962, 0.978, 0.998, 0.982, 0.982, 0.984, 0.98, 0.992, 0.994, 0.98, 0.99]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
10,0.9850000000000001,0.043970274058483486,0.0,0.0,0.9850000000000001,0.043970274058483486,"[0.996, 0.994, 0.98, 0.982, 0.988, 0.966, 0.98, 0.98, 0.992, 0.998, 1.0, 0.972, 0.994, 0.998, 0.966, 0.982, 0.994, 0.984, 0.976, 0.978]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
