round,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,accuracy,loss,client_accuracies,client_update_norms,keep_rate
1,0.916,0.3063736081938259,0.0,0.0,0.916,0.3063736081938259,"[0.912, 0.908, 0.89, 0.92, 0.878, 0.882, 0.952, 0.954, 0.964, 0.958, 0.95, 0.902, 0.866, 0.946, 0.89, 0.984, 0.888, 0.862, 0.898, 0.916]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
2,0.9555000000000001,0.1442337544533075,0.0,0.0,0.9555000000000001,0.1442337544533075,"[0.954, 0.978, 0.982, 0.964, 0.916, 0.926, 0.976, 0.952, 0.922, 0.938, 0.998, 0.986, 0.932, 0.932, 0.958, 0.954, 0.984, 0.94, 0.936, 0.982]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
3,0.9660999999999997,0.10415093838528264,0.0,0.0,0.9660999999999997,0.10415093838528264,"[0.996, 0.992, 0.96, 0.986, 0.946, 0.97, 0.94, 0.986, 0.95, 0.972, 0.954, 0.99, 0.954, 0.978, 0.938, 0.944, 0.942, 0.99, 0.964, 0.97]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
4,0.9724000000000002,0.08333633751408343,0.0,0.0,0.9724000000000002,0.08333633751408343,"[0.948, 0.984, 0.996, 0.958, 0.96, 0.974, 0.978, 0.994, 0.994, 0.99, 0.962, 0.988, 0.962, 0.978, 0.954, 0.95, 0.942, 0.972, 0.986, 0.978]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
5,0.9772000000000001,0.07077206309859321,0.0,0.0,0.9772000000000001,0.07077206309859321,"[0.968, 0.982, 0.984, 0.98, 0.992, 0.994, 0.96, 0.958, 0.984, 0.956, 0.948, 0.97, 0.99, 0.982, 0.996, 0.972, 0.998, 0.986, 0.98, 0.964]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
6,0.9796000000000001,0.06208403490763885,0.0,0.0,0.9796000000000001,0.06208403490763885,"[0.968, 0.96, 0.97, 0.988, 0.996, 0.952, 0.992, 0.982, 0.986, 0.964, 0.984, 0.982, 0.994, 0.964, 0.986, 0.986, 0.972, 0.992, 0.976, 0.998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
7,0.9816,0.055737844073973974,0.0,0.0,0.9816,0.055737844073973974,"[0.996, 0.984, 0.994, 0.974, 0.992, 0.964, 0.988, 0.99, 0.968, 0.976, 0.988, 0.982, 0.998, 0.958, 0.992, 0.986, 0.982, 0.978, 0.97, 0.972]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
8,0.9828999999999999,0.05086639247538187,0.0,0.0,0.9828999999999999,0.05086639247538187,"[0.976, 0.982, 0.994, 0.988, 0.972, 0.99, 0.982, 0.972, 0.958, 0.964, 0.99, 0.994, 0.972, 0.998, 0.992, 0.982, 0.98, 0.996, 0.98, 0.996]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
9,0.9846,0.046963076236397686,0.0,0.0,0.9846,0.046963076236397686,"[0.978, 0.978, 0.982, 0.972, 1.0, 0.996, 0.98, 0.992, 0.992, 0.99, 0.994, 0.98, 0.982, 0.994, 0.966, 0.996, 0.962, 0.998, 0.976, 0.984]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
10,0.9850999999999999,0.04388405553258963,0.0,0.0,0.9850999999999999,0.04388405553258963,"[0.994, 1.0, 0.98, 0.978, 0.982, 0.998, 0.992, 0.972, 0.99, 0.966, 0.998, 0.966, 0.984, 0.98, 0.976, 0.994, 0.98, 0.996, 0.982, 0.994]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
