round,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,accuracy,loss,update_norm,client_accuracies,keep_rate
1,0.9181000000000001,0.30439140505623075,0.0,0.0,0.9181000000000001,0.30439140505623075,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.888, 0.874, 0.944, 0.986, 0.926, 0.908, 0.896, 0.876, 0.89, 0.95, 0.952, 0.932, 0.88, 0.95, 0.866, 0.964, 0.9, 0.95, 0.908, 0.922]",1.0
2,0.9547000000000001,0.14684687354092602,0.0,0.0,0.9547000000000001,0.14684687354092602,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.964, 0.916, 0.982, 0.932, 0.954, 0.996, 0.982, 0.942, 0.948, 0.934, 0.936, 0.948, 0.984, 0.974, 0.922, 0.98, 0.936, 0.924, 0.986, 0.954]",1.0
3,0.9658,0.1089358492208703,0.0,0.0,0.9658,0.1089358492208703,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.952, 0.958, 0.952, 0.996, 0.968, 0.988, 0.938, 0.996, 0.942, 0.984, 0.964, 0.954, 0.938, 0.978, 0.986, 0.976, 0.944, 0.986, 0.944, 0.972]",1.0
4,0.9721,0.08549064470189478,0.0,0.0,0.9721,0.08549064470189478,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.952, 0.952, 0.956, 0.996, 0.98, 0.958, 0.994, 0.96, 0.976, 0.974, 0.994, 0.978, 0.946, 0.966, 0.982, 0.986, 0.942, 0.99, 0.988, 0.972]",1.0
5,0.9766999999999999,0.07192714813281782,0.0,0.0,0.9766999999999999,0.07192714813281782,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.99, 0.986, 0.996, 0.998, 0.988, 0.978, 0.95, 0.978, 0.98, 0.986, 0.956, 0.962, 0.97, 0.97, 0.98, 0.994, 0.956, 0.982, 0.966, 0.968]",1.0
6,0.9789999999999999,0.06364179169013369,0.0,0.0,0.9789999999999999,0.06364179169013369,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.98, 0.962, 0.952, 0.986, 0.968, 0.97, 0.988, 0.998, 0.97, 0.99, 0.99, 0.996, 0.982, 0.982, 0.97, 0.994, 0.988, 0.958, 0.982, 0.974]",1.0
7,0.9816999999999998,0.05747155567505615,0.0,0.0,0.9816999999999998,0.05747155567505615,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.992, 0.986, 0.992, 0.976, 0.974, 0.978, 0.964, 0.998, 0.966, 0.986, 0.996, 0.986, 0.97, 0.99, 0.958, 0.968, 0.982, 0.996, 0.994, 0.982]",1.0
8,0.9831,0.0529154659586311,0.0,0.0,0.9831,0.0529154659586311,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.998, 0.98, 0.996, 0.982, 0.992, 0.982, 0.978, 0.97, 0.96, 0.986, 0.996, 0.964, 0.99, 0.996, 0.982, 0.994, 0.986, 0.978, 0.982, 0.97]",1.0
9,0.984,0.049047174725774315,0.0,0.0,0.984,0.049047174725774315,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.996, 0.978, 0.972, 1.0, 0.964, 0.962, 0.982, 0.996, 0.994, 0.97, 0.99, 0.986, 0.982, 0.996, 0.992, 0.988, 0.978, 0.992, 0.98, 0.982]",1.0
10,0.9847999999999999,0.04601511293913063,0.0,0.0,0.9847999999999999,0.04601511293913063,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.966, 0.98, 0.98, 0.976, 0.982, 0.988, 0.996, 0.996, 0.98, 0.998, 0.992, 0.994, 0.996, 0.984, 0.992, 0.98, 0.982, 1.0, 0.964, 0.97]",1.0
