round,accuracy,loss,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,update_norm,client_accuracies,keep_rate
1,0.8886,0.3811374887591228,0.885875,0.39278698567068204,0.8995,0.3345395011128858,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.928, 0.872, 0.97, 0.886, 0.842, 0.938, 0.882, 0.838, 0.852, 0.872, 0.856, 0.852, 0.94, 0.93, 0.872, 0.85, 0.934, 0.924, 0.902, 0.832]",1.0
2,0.9422,0.18260574706218904,0.939,0.19344946820456244,0.955,0.13923086249269545,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.972, 0.914, 0.972, 0.94, 0.966, 0.906, 0.944, 0.936, 0.968, 0.914, 0.92, 0.968, 0.99, 0.936, 0.976, 0.932, 0.932, 0.906, 0.916, 0.936]",1.0
3,0.9566,0.13726319993438665,0.953625,0.14646568598982412,0.9685,0.10045325571263675,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.942, 0.996, 0.982, 0.95, 0.952, 0.978, 0.934, 0.952, 0.97, 0.984, 0.964, 0.924, 0.982, 0.972, 0.94, 0.96, 0.956, 0.936, 0.924, 0.934]",1.0
4,0.9603,0.12227787040319527,0.95725,0.1312688943999092,0.9725,0.08631377441633958,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.966, 0.984, 0.956, 0.944, 0.982, 0.996, 0.942, 0.986, 0.974, 0.922, 0.948, 0.978, 0.956, 0.958, 0.96, 0.928, 0.982, 0.936, 0.936, 0.972]",1.0
5,0.9622,0.11855342927933635,0.959375,0.12712558226820647,0.9735,0.08426481732385582,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.962, 0.988, 0.942, 0.982, 0.956, 0.956, 0.982, 0.976, 0.944, 0.976, 0.964, 0.928, 0.934, 0.968, 0.994, 0.966, 0.958, 0.982, 0.936, 0.95]",1.0
6,0.9636,0.1184633513616177,0.961125,0.12727752383740665,0.9735,0.0832066614584619,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.936, 0.98, 0.934, 0.962, 0.934, 0.946, 0.988, 0.992, 0.984, 0.966, 0.96, 0.964, 0.944, 0.964, 0.986, 0.996, 0.978, 0.954, 0.942, 0.962]",1.0
7,0.9635,0.12637024157269253,0.960625,0.13820915192881955,0.975,0.0790146001481844,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.988, 0.96, 0.99, 0.944, 0.962, 0.962, 0.946, 0.932, 0.962, 0.946, 0.98, 0.996, 0.938, 0.944, 0.96, 0.966, 0.99, 0.94, 0.984, 0.98]",1.0
8,0.9617,0.1443226351201446,0.958625,0.15873881108401733,0.974,0.0866579312646536,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.966, 0.98, 0.94, 0.942, 0.986, 0.934, 0.962, 0.994, 0.962, 0.96, 0.972, 0.944, 0.936, 0.984, 0.986, 0.94, 0.96, 0.958, 0.99, 0.938]",1.0
9,0.9619,0.15461477020342612,0.9595,0.16671051615467292,0.9715,0.106231786398439,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.952, 0.982, 0.958, 0.972, 0.996, 0.952, 0.982, 0.974, 0.964, 0.942, 0.988, 0.964, 0.934, 0.992, 0.932, 0.962, 0.968, 0.952, 0.934, 0.938]",1.0
10,0.96,0.17301614877261146,0.957,0.18606305536706724,0.972,0.12082852239478825,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.962, 0.95, 0.97, 0.994, 0.94, 0.94, 0.99, 0.966, 0.942, 0.952, 0.972, 0.948, 0.984, 0.976, 0.962, 0.938, 0.982, 0.936, 0.96, 0.936]",1.0
11,0.9634,0.1721576627066163,0.960875,0.1837500541860928,0.9735,0.1257880967887104,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.978, 0.944, 0.968, 0.938, 0.956, 0.988, 0.968, 0.94, 0.994, 0.98, 0.948, 0.982, 0.95, 0.946, 0.97, 0.956, 0.932, 0.968, 0.982, 0.98]",1.0
12,0.96,0.21073784637919643,0.957375,0.22731315014587256,0.9705,0.14443663131249185,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.932, 0.972, 0.948, 0.962, 0.982, 0.932, 0.942, 0.968, 0.958, 0.936, 0.964, 0.944, 0.94, 0.988, 0.968, 0.982, 0.958, 0.994, 0.958, 0.972]",1.0
13,0.9631,0.21345845185075177,0.961125,0.2273267428798997,0.971,0.1579852877341601,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.99, 0.956, 0.992, 0.98, 0.98, 0.96, 0.982, 0.944, 0.948, 0.966, 0.966, 0.966, 0.978, 0.954, 0.932, 0.946, 0.96, 0.954, 0.934, 0.974]",1.0
