round,accuracy,loss,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,client_accuracies,keep_rate
1,0.8886,0.3811374912504107,0.885875,0.39278698875568807,0.8995,0.3345395012293011,"[0.852, 0.856, 0.94, 0.838, 0.842, 0.93, 0.872, 0.902, 0.872, 0.938, 0.852, 0.872, 0.934, 0.85, 0.924, 0.97, 0.832, 0.886, 0.928, 0.882]",1.0
2,0.9422,0.18243473499751417,0.939,0.19327697571679892,0.955,0.1390657721203752,"[0.968, 0.916, 0.914, 0.976, 0.932, 0.936, 0.906, 0.966, 0.94, 0.944, 0.912, 0.936, 0.922, 0.972, 0.99, 0.932, 0.906, 0.968, 0.972, 0.936]",1.0
3,0.9572,0.13610539937362773,0.95425,0.14529907397991337,0.969,0.09933070094848517,"[0.95, 0.96, 0.94, 0.982, 0.924, 0.94, 0.982, 0.982, 0.978, 0.924, 0.996, 0.936, 0.948, 0.954, 0.966, 0.976, 0.97, 0.958, 0.944, 0.934]",1.0
4,0.9608,0.1211485213625565,0.958625,0.13045013287000984,0.9695,0.08394207533274312,"[0.964, 0.98, 0.978, 0.942, 0.958, 0.996, 0.986, 0.97, 0.974, 0.944, 0.928, 0.984, 0.964, 0.956, 0.932, 0.948, 0.95, 0.938, 0.98, 0.944]",1.0
5,0.9623,0.11749841967757675,0.95925,0.126120296631143,0.9745,0.08301091186331178,"[0.95, 0.986, 0.994, 0.926, 0.964, 0.942, 0.936, 0.956, 0.988, 0.96, 0.968, 0.976, 0.98, 0.968, 0.982, 0.936, 0.932, 0.954, 0.962, 0.986]",1.0
6,0.964,0.11753729850238415,0.96125,0.12772576549508585,0.975,0.07678343053157732,"[0.97, 0.944, 0.986, 0.934, 0.96, 0.938, 0.946, 0.96, 0.984, 0.964, 0.99, 0.978, 0.936, 0.996, 0.946, 0.96, 0.978, 0.966, 0.952, 0.992]",1.0
7,0.9635,0.12911840301167105,0.960125,0.1417856042112362,0.977,0.07844959821341035,"[0.976, 0.958, 0.942, 0.986, 0.962, 0.944, 0.938, 0.988, 0.946, 0.986, 0.984, 0.994, 0.96, 0.988, 0.978, 0.972, 0.944, 0.936, 0.93, 0.958]",1.0
8,0.9609,0.14958783674629786,0.95825,0.16254857329393246,0.9715,0.09774489055575941,"[0.988, 0.942, 0.97, 0.976, 0.992, 0.96, 0.93, 0.98, 0.944, 0.958, 0.96, 0.942, 0.994, 0.944, 0.98, 0.96, 0.934, 0.936, 0.97, 0.958]",1.0
9,0.9612,0.1547625428540357,0.9585,0.16699311020362728,0.972,0.10584027345566938,"[0.986, 0.95, 0.984, 0.936, 0.98, 0.96, 0.996, 0.96, 0.968, 0.936, 0.966, 0.944, 0.964, 0.936, 0.93, 0.932, 0.96, 0.984, 0.978, 0.974]",1.0
10,0.9626,0.16404131801698654,0.959125,0.17794530100149597,0.9765,0.1084253860789488,"[0.934, 0.968, 0.93, 0.994, 0.96, 0.968, 0.968, 0.948, 0.988, 0.978, 0.93, 0.964, 0.938, 0.942, 0.98, 0.96, 0.95, 0.976, 0.986, 0.99]",1.0
11,0.9633,0.17541676913386892,0.960875,0.18555569669360172,0.973,0.1348610588949377,"[0.942, 0.984, 0.952, 0.966, 0.972, 0.96, 0.956, 0.996, 0.986, 0.984, 0.938, 0.976, 0.93, 0.96, 0.956, 0.968, 0.946, 0.946, 0.98, 0.968]",1.0
12,0.9621,0.1888419883445059,0.959,0.20333486007995294,0.9745,0.13087050140271783,"[0.944, 0.93, 0.988, 0.946, 0.96, 0.964, 0.938, 0.968, 0.992, 0.96, 0.98, 0.94, 0.992, 0.962, 0.974, 0.97, 0.936, 0.946, 0.98, 0.972]",1.0
13,0.9615,0.2061508969663193,0.9595,0.2187515308143774,0.9695,0.1557483615740871,"[0.99, 0.94, 0.978, 0.972, 0.968, 0.988, 0.946, 0.94, 0.952, 0.958, 0.946, 0.95, 0.934, 0.968, 0.962, 0.982, 0.982, 0.936, 0.958, 0.98]",1.0
14,0.9573,0.2399810550516515,0.954875,0.25472365406914993,0.967,0.1810106589816578,"[0.96, 0.978, 0.962, 0.93, 0.98, 0.98, 0.934, 0.944, 0.958, 0.98, 0.956, 0.966, 0.97, 0.924, 0.936, 0.962, 0.936, 0.99, 0.952, 0.948]",1.0
15,0.9608,0.24018070953255918,0.95925,0.2544930399971259,0.967,0.18293138767429265,"[0.986, 0.958, 0.966, 0.94, 0.994, 0.952, 0.94, 0.948, 0.982, 0.94, 0.96, 0.97, 0.934, 0.944, 0.976, 0.966, 0.984, 0.96, 0.972, 0.944]",1.0
16,0.961,0.2727494675811558,0.959,0.28682309265583694,0.969,0.21645496728243138,"[0.964, 0.988, 0.948, 0.974, 0.96, 0.938, 0.996, 0.936, 0.978, 0.962, 0.948, 0.966, 0.94, 0.96, 0.976, 0.978, 0.96, 0.948, 0.926, 0.974]",1.0
17,0.962,0.2791995480804786,0.96075,0.2969220493490268,0.967,0.2083095430062858,"[0.934, 0.98, 0.968, 0.958, 0.98, 0.97, 0.958, 0.952, 0.974, 0.98, 0.94, 0.962, 0.954, 0.998, 0.946, 0.962, 0.954, 0.98, 0.946, 0.944]",1.0
18,0.9621,0.2837732745734345,0.960125,0.30373500898790556,0.97,0.20392633691555007,"[0.972, 0.96, 0.96, 0.986, 0.974, 0.944, 0.934, 0.952, 0.95, 0.952, 0.94, 0.952, 0.966, 0.986, 0.962, 0.976, 0.972, 0.994, 0.962, 0.948]",1.0
19,0.9547,0.3544415466615552,0.95275,0.3788558040587645,0.9625,0.25678451707271777,"[0.95, 0.97, 0.946, 0.942, 0.944, 0.928, 0.97, 0.944, 0.936, 0.984, 0.992, 0.928, 0.96, 0.974, 0.964, 0.94, 0.96, 0.958, 0.966, 0.938]",1.0
20,0.9536,0.34465174703697987,0.951125,0.37093774723590267,0.9635,0.23950774624128857,"[0.936, 0.948, 0.95, 0.934, 0.974, 0.96, 0.96, 0.934, 0.95, 0.934, 0.95, 0.944, 0.976, 0.99, 0.926, 0.98, 0.934, 0.97, 0.96, 0.962]",1.0
21,0.9512,0.38920709848058244,0.949625,0.41166054028788773,0.9575,0.29939333125136136,"[0.92, 0.924, 0.942, 0.958, 0.928, 0.97, 0.968, 0.932, 0.948, 0.93, 0.98, 0.97, 0.942, 0.946, 0.97, 0.956, 0.99, 0.926, 0.972, 0.952]",1.0
22,0.9556,0.4144395296763338,0.953625,0.447604689840557,0.9635,0.28177888901944076,"[0.956, 0.952, 0.932, 0.942, 0.962, 0.984, 0.946, 0.932, 0.94, 0.972, 0.944, 0.926, 0.972, 0.952, 0.924, 0.98, 0.972, 0.992, 0.958, 0.974]",1.0
23,0.9551,0.38090527575030486,0.953375,0.4086967802606528,0.962,0.2697392577089132,"[0.978, 0.946, 0.926, 0.972, 0.938, 0.964, 0.948, 0.976, 0.992, 0.942, 0.94, 0.922, 0.976, 0.97, 0.946, 0.976, 0.924, 0.946, 0.968, 0.952]",1.0
