round,accuracy,loss,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,client_accuracies,keep_rate
1,0.302,1.9758899871259927,0.303875,1.972749399021268,0.2945,1.9884523395448923,"[0.29, 0.31, 0.326, 0.332, 0.316, 0.268, 0.316, 0.284, 0.312, 0.318, 0.258, 0.288, 0.278, 0.264, 0.314, 0.292, 0.312, 0.316, 0.334, 0.312]",1.0
2,0.377,1.7357195492833852,0.38075,1.7306290841661394,0.362,1.756081409752369,"[0.374, 0.368, 0.372, 0.346, 0.376, 0.336, 0.392, 0.4, 0.386, 0.372, 0.358, 0.388, 0.404, 0.406, 0.374, 0.382, 0.322, 0.4, 0.384, 0.4]",1.0
3,0.4271,1.5746473975479602,0.430875,1.568373767659068,0.412,1.599741917103529,"[0.424, 0.432, 0.456, 0.414, 0.416, 0.422, 0.416, 0.432, 0.43, 0.41, 0.448, 0.458, 0.432, 0.402, 0.43, 0.444, 0.458, 0.444, 0.384, 0.39]",1.0
4,0.4735,1.467350010946393,0.478,1.4611908169463277,0.4555,1.4919867869466543,"[0.492, 0.462, 0.452, 0.484, 0.45, 0.482, 0.472, 0.478, 0.438, 0.446, 0.468, 0.454, 0.456, 0.5, 0.486, 0.504, 0.49, 0.48, 0.482, 0.494]",1.0
5,0.5003,1.3906967539340258,0.505375,1.3850364023819566,0.48,1.4133381601423025,"[0.448, 0.522, 0.514, 0.522, 0.482, 0.494, 0.466, 0.526, 0.506, 0.516, 0.498, 0.514, 0.5, 0.51, 0.484, 0.506, 0.554, 0.458, 0.476, 0.51]",1.0
6,0.5256,1.3311781568452716,0.528625,1.3259399079252034,0.5135,1.3521311525255442,"[0.54, 0.544, 0.462, 0.484, 0.54, 0.548, 0.506, 0.544, 0.54, 0.522, 0.584, 0.534, 0.52, 0.534, 0.53, 0.538, 0.508, 0.494, 0.518, 0.522]",1.0
7,0.5451,1.2815499313175678,0.547375,1.2767212835606188,0.536,1.300864522345364,"[0.514, 0.554, 0.494, 0.52, 0.564, 0.556, 0.552, 0.544, 0.55, 0.526, 0.528, 0.546, 0.538, 0.554, 0.546, 0.56, 0.554, 0.572, 0.526, 0.604]",1.0
8,0.5632,1.2346762359142303,0.565375,1.2305479117203504,0.5545,1.2511895326897502,"[0.556, 0.552, 0.622, 0.53, 0.588, 0.55, 0.568, 0.562, 0.576, 0.574, 0.554, 0.578, 0.578, 0.586, 0.536, 0.564, 0.576, 0.574, 0.506, 0.534]",1.0
9,0.5787,1.192623382806778,0.580125,1.1890654342714697,0.573,1.206855176948011,"[0.578, 0.572, 0.552, 0.574, 0.59, 0.578, 0.56, 0.522, 0.592, 0.578, 0.578, 0.618, 0.554, 0.592, 0.592, 0.626, 0.6, 0.574, 0.566, 0.578]",1.0
10,0.5958,1.1512916224077343,0.5985,1.1481220526620746,0.585,1.1639699013903737,"[0.574, 0.584, 0.606, 0.58, 0.592, 0.59, 0.56, 0.602, 0.592, 0.602, 0.592, 0.602, 0.612, 0.588, 0.598, 0.606, 0.548, 0.634, 0.616, 0.638]",1.0
