round,accuracy,loss,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,client_accuracies,keep_rate
1,0.302,1.9758899882435799,0.303875,1.9727494004182518,0.2945,1.9884523395448923,"[0.258, 0.314, 0.29, 0.326, 0.334, 0.31, 0.292, 0.316, 0.278, 0.312, 0.312, 0.288, 0.284, 0.264, 0.316, 0.318, 0.312, 0.316, 0.332, 0.268]",1.0
2,0.3785,1.7352893758565187,0.382125,1.7302130875177681,0.364,1.7555945292115211,"[0.388, 0.336, 0.39, 0.32, 0.412, 0.376, 0.402, 0.374, 0.394, 0.386, 0.382, 0.374, 0.378, 0.37, 0.358, 0.396, 0.382, 0.404, 0.404, 0.344]",1.0
3,0.4266,1.5748448248952627,0.430375,1.568558459635824,0.4115,1.5999902859330177,"[0.422, 0.424, 0.434, 0.434, 0.404, 0.434, 0.388, 0.438, 0.408, 0.446, 0.456, 0.46, 0.414, 0.442, 0.382, 0.414, 0.414, 0.42, 0.452, 0.446]",1.0
4,0.4722,1.4677610866725446,0.477125,1.4615261564031243,0.4525,1.492700807750225,"[0.48, 0.472, 0.476, 0.494, 0.448, 0.45, 0.434, 0.488, 0.45, 0.502, 0.482, 0.46, 0.472, 0.482, 0.452, 0.452, 0.482, 0.484, 0.492, 0.492]",1.0
5,0.4999,1.3899175975471736,0.50425,1.3841711492277682,0.4825,1.4129033908247948,"[0.522, 0.5, 0.484, 0.51, 0.46, 0.5, 0.502, 0.49, 0.51, 0.47, 0.476, 0.476, 0.512, 0.514, 0.448, 0.524, 0.506, 0.528, 0.508, 0.558]",1.0
6,0.5241,1.3317268865182996,0.527375,1.326472780900076,0.511,1.3527433089911938,"[0.528, 0.542, 0.494, 0.518, 0.552, 0.518, 0.524, 0.544, 0.488, 0.538, 0.54, 0.528, 0.522, 0.542, 0.504, 0.508, 0.578, 0.536, 0.522, 0.456]",1.0
7,0.5442,1.2803069887682796,0.546875,1.2754997457377613,0.5335,1.2995359608903527,"[0.598, 0.522, 0.55, 0.514, 0.526, 0.564, 0.568, 0.554, 0.534, 0.544, 0.554, 0.492, 0.562, 0.556, 0.548, 0.554, 0.544, 0.532, 0.552, 0.516]",1.0
8,0.5633,1.2354344720020891,0.565875,1.2313299041707069,0.553,1.2518527433276176,"[0.564, 0.556, 0.574, 0.53, 0.592, 0.57, 0.556, 0.538, 0.566, 0.558, 0.572, 0.526, 0.582, 0.508, 0.556, 0.566, 0.58, 0.564, 0.586, 0.622]",1.0
9,0.5791,1.1914151268079878,0.58125,1.1877568983472884,0.5705,1.206048040650785,"[0.568, 0.554, 0.576, 0.586, 0.58, 0.594, 0.624, 0.584, 0.578, 0.576, 0.576, 0.602, 0.628, 0.592, 0.588, 0.58, 0.572, 0.55, 0.524, 0.55]",1.0
10,0.5949,1.151680527999997,0.59775,1.1483399793505669,0.5835,1.1650427225977182,"[0.586, 0.6, 0.584, 0.59, 0.58, 0.596, 0.594, 0.596, 0.596, 0.574, 0.592, 0.638, 0.608, 0.6, 0.596, 0.604, 0.558, 0.616, 0.554, 0.636]",1.0
11,0.6107,1.1122652567923068,0.614,1.1092139764223248,0.5975,1.1244703782722354,"[0.622, 0.618, 0.618, 0.594, 0.606, 0.604, 0.652, 0.568, 0.602, 0.57, 0.63, 0.622, 0.626, 0.654, 0.594, 0.612, 0.62, 0.594, 0.602, 0.606]",1.0
12,0.6273,1.0755795599892735,0.6305,1.0726080597378314,0.6145,1.0874655609950423,"[0.634, 0.632, 0.674, 0.636, 0.628, 0.622, 0.622, 0.65, 0.624, 0.63, 0.592, 0.634, 0.592, 0.642, 0.634, 0.632, 0.62, 0.668, 0.598, 0.582]",1.0
13,0.6398,1.0411689868196845,0.64225,1.038360271602869,0.63,1.0524038476869464,"[0.64, 0.648, 0.648, 0.642, 0.654, 0.6, 0.608, 0.646, 0.614, 0.652, 0.63, 0.676, 0.654, 0.642, 0.644, 0.62, 0.632, 0.654, 0.608, 0.684]",1.0
14,0.6498,1.00946139767766,0.653125,1.0064620131161064,0.6365,1.0214589359238744,"[0.654, 0.696, 0.626, 0.618, 0.664, 0.618, 0.648, 0.65, 0.654, 0.652, 0.648, 0.624, 0.664, 0.662, 0.68, 0.662, 0.646, 0.624, 0.66, 0.646]",1.0
15,0.6613,0.9811085918918252,0.665,0.9780075149610639,0.6465,0.9935128996148705,"[0.668, 0.714, 0.652, 0.676, 0.618, 0.65, 0.674, 0.636, 0.654, 0.66, 0.676, 0.674, 0.662, 0.646, 0.664, 0.64, 0.664, 0.64, 0.672, 0.686]",1.0
16,0.672,0.9535030728206039,0.674625,0.9504066398367286,0.6615,0.965888804756105,"[0.676, 0.674, 0.668, 0.676, 0.684, 0.692, 0.674, 0.666, 0.686, 0.708, 0.65, 0.664, 0.662, 0.67, 0.636, 0.646, 0.676, 0.718, 0.642, 0.672]",1.0
17,0.6784,0.9280133694410324,0.68175,0.9250590559095144,0.665,0.9398306235671043,"[0.678, 0.676, 0.652, 0.732, 0.642, 0.658, 0.704, 0.694, 0.686, 0.688, 0.668, 0.69, 0.668, 0.7, 0.68, 0.674, 0.656, 0.664, 0.68, 0.678]",1.0
18,0.6855,0.9076463874429465,0.688875,0.9046206693165004,0.672,0.9197492599487305,"[0.662, 0.696, 0.698, 0.67, 0.68, 0.692, 0.682, 0.692, 0.694, 0.674, 0.67, 0.704, 0.704, 0.672, 0.692, 0.688, 0.732, 0.656, 0.686, 0.666]",1.0
19,0.6937,0.8874560819938779,0.6955,0.8843784286873415,0.6865,0.8997666952200234,"[0.698, 0.686, 0.678, 0.698, 0.674, 0.706, 0.706, 0.712, 0.702, 0.728, 0.664, 0.712, 0.702, 0.678, 0.7, 0.7, 0.676, 0.682, 0.686, 0.686]",1.0
20,0.7014,0.8693641904741526,0.703375,0.8665682789869606,0.6935,0.8805478364229202,"[0.702, 0.696, 0.696, 0.708, 0.706, 0.688, 0.676, 0.718, 0.708, 0.682, 0.688, 0.69, 0.708, 0.704, 0.714, 0.716, 0.682, 0.692, 0.71, 0.744]",1.0
21,0.7097,0.8521273870021104,0.711875,0.8496960719348863,0.701,0.8618526472710073,"[0.724, 0.726, 0.716, 0.678, 0.7, 0.694, 0.716, 0.698, 0.69, 0.718, 0.75, 0.708, 0.71, 0.718, 0.704, 0.696, 0.72, 0.696, 0.712, 0.72]",1.0
22,0.7129,0.8388342150487006,0.71525,0.8367701517418027,0.7035,0.8470904682762921,"[0.7, 0.722, 0.722, 0.704, 0.698, 0.756, 0.724, 0.72, 0.696, 0.722, 0.706, 0.694, 0.716, 0.714, 0.712, 0.686, 0.712, 0.736, 0.718, 0.7]",1.0
23,0.7183,0.8250935121439398,0.720125,0.8232185487868264,0.711,0.8325933655723929,"[0.69, 0.698, 0.728, 0.724, 0.762, 0.71, 0.734, 0.728, 0.708, 0.724, 0.7, 0.736, 0.698, 0.714, 0.712, 0.704, 0.728, 0.722, 0.73, 0.716]",1.0
24,0.7228,0.8134983335621655,0.724,0.8118598242290318,0.718,0.8200523708947003,"[0.722, 0.734, 0.704, 0.73, 0.714, 0.728, 0.726, 0.77, 0.71, 0.726, 0.718, 0.73, 0.728, 0.706, 0.714, 0.734, 0.74, 0.704, 0.716, 0.702]",1.0
25,0.7265,0.8026633884757757,0.72675,0.8013000854989514,0.7255,0.8081166003830731,"[0.708, 0.732, 0.708, 0.698, 0.74, 0.728, 0.726, 0.726, 0.736, 0.72, 0.74, 0.732, 0.716, 0.77, 0.71, 0.732, 0.732, 0.732, 0.718, 0.726]",1.0
26,0.7289,0.7921955225989222,0.72925,0.7909270118689165,0.7275,0.7972695655189455,"[0.724, 0.71, 0.746, 0.728, 0.738, 0.738, 0.712, 0.734, 0.706, 0.776, 0.718, 0.732, 0.728, 0.726, 0.728, 0.728, 0.734, 0.738, 0.722, 0.712]",1.0
27,0.7321,0.7833221253007651,0.73225,0.7822134862653911,0.7315,0.7877566814422607,"[0.706, 0.736, 0.736, 0.73, 0.718, 0.73, 0.734, 0.752, 0.734, 0.77, 0.742, 0.732, 0.736, 0.722, 0.74, 0.71, 0.73, 0.734, 0.732, 0.718]",1.0
28,0.7355,0.7773860591463745,0.736125,0.7765768977114931,0.733,0.7806227048859,"[0.744, 0.736, 0.728, 0.74, 0.728, 0.734, 0.706, 0.76, 0.724, 0.738, 0.736, 0.736, 0.714, 0.736, 0.724, 0.74, 0.746, 0.74, 0.732, 0.768]",1.0
29,0.7382,0.7697761001996696,0.739125,0.7689740896457806,0.7345,0.7729841424152255,"[0.756, 0.77, 0.714, 0.722, 0.724, 0.738, 0.734, 0.742, 0.738, 0.738, 0.74, 0.746, 0.73, 0.754, 0.736, 0.734, 0.742, 0.726, 0.73, 0.75]",1.0
30,0.7405,0.7631077004596591,0.740875,0.7624773584539071,0.739,0.7656290684826672,"[0.716, 0.738, 0.738, 0.732, 0.738, 0.742, 0.736, 0.768, 0.718, 0.744, 0.748, 0.758, 0.724, 0.748, 0.746, 0.736, 0.75, 0.754, 0.736, 0.74]",1.0
31,0.7417,0.7576399652287364,0.742125,0.7573764208937064,0.74,0.7586941425688565,"[0.754, 0.736, 0.74, 0.74, 0.762, 0.75, 0.748, 0.744, 0.742, 0.744, 0.774, 0.746, 0.722, 0.736, 0.742, 0.738, 0.744, 0.71, 0.742, 0.72]",1.0
32,0.7443,0.7534165075048804,0.74425,0.7533891460625455,0.7445,0.7535259532742202,"[0.742, 0.742, 0.744, 0.754, 0.752, 0.746, 0.744, 0.734, 0.734, 0.774, 0.716, 0.758, 0.752, 0.728, 0.74, 0.744, 0.738, 0.752, 0.746, 0.746]",1.0
33,0.7461,0.7487221636809409,0.745875,0.7488177416380495,0.747,0.7483398518525064,"[0.756, 0.75, 0.748, 0.78, 0.756, 0.744, 0.728, 0.74, 0.754, 0.748, 0.75, 0.746, 0.75, 0.712, 0.752, 0.748, 0.75, 0.726, 0.74, 0.744]",1.0
34,0.747,0.7452938457019627,0.747625,0.7451707575237378,0.7445,0.7457861984148622,"[0.74, 0.75, 0.744, 0.756, 0.744, 0.744, 0.74, 0.752, 0.75, 0.778, 0.744, 0.748, 0.754, 0.75, 0.748, 0.746, 0.718, 0.734, 0.744, 0.756]",1.0
35,0.7472,0.7402841266710312,0.747375,0.7405506258364767,0.7465,0.7392181300092489,"[0.78, 0.76, 0.752, 0.75, 0.744, 0.75, 0.732, 0.746, 0.752, 0.756, 0.748, 0.736, 0.752, 0.748, 0.752, 0.712, 0.744, 0.748, 0.738, 0.744]",1.0
