round,accuracy,loss,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,client_accuracies,keep_rate
1,0.068,4.055934826374054,0.082109375,4.059535054564476,0.0115625,4.041533913612366,"[0.1525, 0.0, 0.11, 0.3675, 0.1175, 0.00375, 0.00125, 0.0, 0.0, 0.0, 0.41375, 0.0, 0.00125, 0.0, 0.0, 0.02125, 0.05375, 0.0875, 0.02375, 0.00625]",1.0
2,0.116125,3.8948726286888125,0.13125,3.894233670830727,0.055625,3.8974284601211546,"[0.4075, 0.00625, 0.0, 0.14, 0.145, 0.16375, 0.06875, 0.0, 0.0, 0.36375, 0.10375, 0.0, 0.0, 0.00875, 0.03875, 0.08, 0.13375, 0.485, 0.105, 0.0725]",1.0
3,0.1761875,3.5897151765823363,0.189140625,3.587969366312027,0.124375,3.5966984176635743,"[0.395, 0.015, 0.0, 0.38125, 0.00375, 0.2525, 0.145, 0.435, 0.0, 0.13, 0.09375, 0.205, 0.2875, 0.115, 0.00125, 0.2575, 0.0, 0.415, 0.09125, 0.3]",1.0
4,0.260375,2.9268503370285033,0.25375,2.9447199523448946,0.286875,2.8553718757629394,"[0.09125, 0.2075, 0.455, 0.50625, 0.00375, 0.3225, 0.31375, 0.30125, 0.39125, 0.005, 0.10625, 0.1675, 0.2875, 0.2125, 0.055, 0.3625, 0.15375, 0.44, 0.38875, 0.43625]",1.0
5,0.486375,2.6096700549125673,0.49125,2.6036453104019164,0.466875,2.6337690329551697,"[0.48875, 0.4475, 0.1475, 0.46, 0.57875, 0.30375, 0.41375, 0.74625, 0.17875, 0.525, 0.6625, 0.5125, 0.3425, 0.20125, 0.50625, 0.67875, 0.63625, 0.7225, 0.44, 0.735]",1.0
6,0.51075,2.3615571224689482,0.516875,2.344858892261982,0.48625,2.428350043296814,"[0.59375, 0.59875, 0.66625, 0.56125, 0.70125, 0.65125, 0.33625, 0.20125, 0.245, 0.56875, 0.35125, 0.54375, 0.41125, 0.69125, 0.53375, 0.6175, 0.38375, 0.42875, 0.64875, 0.48125]",1.0
7,0.557875,2.1647433586120606,0.5653125,2.155499586760998,0.528125,2.2017184460163115,"[0.82, 0.55125, 0.675, 0.725, 0.66, 0.52125, 0.2825, 0.6075, 0.63625, 0.33375, 0.415, 0.3975, 0.3725, 0.71125, 0.425, 0.6, 0.71625, 0.59875, 0.5125, 0.59625]",1.0
8,0.576625,2.020113970994949,0.58515625,2.0076880767941474,0.5425,2.0698175477981566,"[0.57, 0.61125, 0.37625, 0.45125, 0.70125, 0.70125, 0.74, 0.715, 0.4875, 0.81, 0.6425, 0.685, 0.3075, 0.72625, 0.43375, 0.4525, 0.55375, 0.5775, 0.405, 0.585]",1.0
9,0.6000625,1.861201198577881,0.6115625,1.8460230866074563,0.5540625,1.9219136464595794,"[0.41125, 0.35125, 0.44375, 0.63375, 0.585, 0.635, 0.72625, 0.70875, 0.455, 0.54375, 0.6225, 0.7425, 0.735, 0.45625, 0.64, 0.7125, 0.59375, 0.44375, 0.7325, 0.82875]",1.0
10,0.613875,1.7353030815124513,0.624453125,1.7203255397081376,0.5715625,1.795213248729706,"[0.3975, 0.53125, 0.75125, 0.72375, 0.66625, 0.61625, 0.52125, 0.71625, 0.59375, 0.74, 0.7425, 0.59, 0.3775, 0.82875, 0.65125, 0.48625, 0.53125, 0.46875, 0.72625, 0.6175]",1.0
