round,accuracy,loss,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,client_accuracies,keep_rate
1,0.916,0.30637359954416754,0.913,0.3168372606742196,0.928,0.2645189550239593,"[0.908, 0.898, 0.866, 0.946, 0.882, 0.916, 0.888, 0.89, 0.912, 0.952, 0.902, 0.862, 0.964, 0.95, 0.92, 0.954, 0.89, 0.958, 0.878, 0.984]",1.0
2,0.9555,0.14423999681603164,0.952125,0.153984391643462,0.969,0.10526241750631016,"[0.936, 0.982, 0.94, 0.954, 0.986, 0.976, 0.964, 0.922, 0.932, 0.958, 0.998, 0.916, 0.932, 0.938, 0.952, 0.982, 0.978, 0.954, 0.984, 0.926]",1.0
3,0.966,0.10419000298861647,0.963125,0.11232569081403199,0.9775,0.0716472516869544,"[0.942, 0.99, 0.942, 0.996, 0.98, 0.972, 0.938, 0.97, 0.954, 0.96, 0.986, 0.99, 0.964, 0.99, 0.938, 0.97, 0.954, 0.946, 0.952, 0.986]",1.0
4,0.9724,0.08339550447708462,0.96975,0.09058479069062741,0.983,0.05463835962291341,"[0.95, 0.988, 0.99, 0.956, 0.962, 0.978, 0.978, 0.962, 0.986, 0.958, 0.972, 0.948, 0.978, 0.994, 0.972, 0.994, 0.96, 0.942, 0.984, 0.996]",1.0
5,0.9771,0.07075968310891767,0.97425,0.07725337120609765,0.9885,0.044784930720197735,"[0.956, 0.982, 0.964, 0.984, 0.956, 0.98, 0.986, 0.998, 0.972, 0.99, 0.982, 0.96, 0.994, 0.996, 0.97, 0.968, 0.948, 0.98, 0.984, 0.992]",1.0
6,0.9797,0.062094613659428435,0.977,0.06793974995343888,0.9905,0.038714068483386654,"[0.986, 0.998, 0.952, 0.976, 0.97, 0.996, 0.964, 0.964, 0.96, 0.986, 0.986, 0.982, 0.99, 0.984, 0.992, 0.968, 0.992, 0.994, 0.982, 0.972]",1.0
7,0.9818,0.05572521590274846,0.9795,0.06096481655799835,0.991,0.03476681328174891,"[0.994, 0.986, 0.988, 0.996, 0.958, 0.998, 0.992, 0.988, 0.986, 0.97, 0.982, 0.976, 0.99, 0.964, 0.982, 0.98, 0.97, 0.992, 0.97, 0.974]",1.0
8,0.9832,0.0508177873015029,0.98125,0.05548259100970654,0.991,0.03215857246868836,"[0.992, 0.994, 0.98, 0.964, 0.982, 0.96, 0.972, 0.99, 0.994, 0.99, 0.996, 0.982, 0.982, 0.972, 0.972, 0.996, 0.988, 1.0, 0.976, 0.982]",1.0
9,0.9848,0.046913738923603884,0.98275,0.05112083941793344,0.993,0.03008533694628568,"[0.996, 0.998, 0.964, 0.972, 0.994, 0.982, 0.978, 0.98, 0.984, 0.992, 0.992, 0.978, 0.964, 0.982, 0.982, 0.996, 0.992, 0.976, 0.994, 1.0]",1.0
10,0.9852,0.04385092422139678,0.983125,0.047677343195402955,0.9935,0.028545248325372086,"[0.992, 0.982, 0.996, 1.0, 0.998, 0.972, 0.98, 0.984, 0.994, 0.978, 0.98, 0.98, 0.982, 0.998, 0.99, 0.994, 0.994, 0.966, 0.978, 0.966]",1.0
