round,accuracy,loss,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,client_accuracies,keep_rate
1,0.302,1.9758899942040444,0.303875,1.9727494060061872,0.2945,1.988452346995473,"[0.312, 0.316, 0.284, 0.278, 0.288, 0.268, 0.334, 0.312, 0.258, 0.292, 0.31, 0.314, 0.326, 0.29, 0.264, 0.318, 0.312, 0.316, 0.316, 0.332]",1.0
2,0.378,1.7352419342845677,0.381875,1.730171183589846,0.3625,1.7555249370634556,"[0.376, 0.356, 0.394, 0.4, 0.406, 0.4, 0.336, 0.388, 0.38, 0.37, 0.386, 0.32, 0.39, 0.348, 0.4, 0.382, 0.37, 0.404, 0.376, 0.378]",1.0
3,0.4277,1.5745424304157496,0.431375,1.568290892522782,0.413,1.5995485819876194,"[0.422, 0.434, 0.412, 0.426, 0.432, 0.39, 0.458, 0.416, 0.456, 0.404, 0.43, 0.434, 0.416, 0.442, 0.38, 0.416, 0.46, 0.456, 0.426, 0.444]",1.0
4,0.4734,1.466369815543294,0.478,1.4601976829580963,0.455,1.4910583458840847,"[0.45, 0.436, 0.478, 0.454, 0.474, 0.484, 0.456, 0.454, 0.492, 0.46, 0.488, 0.472, 0.48, 0.492, 0.494, 0.484, 0.502, 0.45, 0.486, 0.482]",1.0
5,0.5007,1.3906959012150764,0.5055,1.3850874807685614,0.4815,1.4131295830011368,"[0.556, 0.512, 0.476, 0.468, 0.524, 0.506, 0.528, 0.498, 0.46, 0.492, 0.502, 0.484, 0.51, 0.484, 0.516, 0.508, 0.51, 0.438, 0.526, 0.516]",1.0
6,0.5255,1.3311416663229465,0.528375,1.3259173966944218,0.514,1.3520387448370457,"[0.532, 0.538, 0.55, 0.52, 0.538, 0.53, 0.578, 0.522, 0.488, 0.544, 0.52, 0.512, 0.54, 0.504, 0.536, 0.492, 0.53, 0.458, 0.54, 0.538]",1.0
7,0.5444,1.2817300179973246,0.547125,1.276948214508593,0.5335,1.30085723195225,"[0.514, 0.538, 0.522, 0.558, 0.498, 0.542, 0.528, 0.554, 0.544, 0.526, 0.554, 0.576, 0.602, 0.554, 0.56, 0.542, 0.56, 0.562, 0.54, 0.514]",1.0
8,0.5626,1.2360329352319241,0.565625,1.2319405490998179,0.5505,1.2524024797603488,"[0.584, 0.624, 0.55, 0.566, 0.59, 0.552, 0.578, 0.578, 0.552, 0.566, 0.574, 0.574, 0.532, 0.572, 0.566, 0.58, 0.534, 0.526, 0.546, 0.508]",1.0
9,0.5792,1.1917774736881257,0.581,1.1882907054387033,0.572,1.2057245466858149,"[0.594, 0.624, 0.552, 0.588, 0.572, 0.604, 0.548, 0.582, 0.556, 0.59, 0.524, 0.592, 0.576, 0.58, 0.574, 0.578, 0.576, 0.57, 0.62, 0.584]",1.0
10,0.5938,1.151630218885839,0.596,1.14849943947047,0.585,1.1641533365473151,"[0.548, 0.632, 0.6, 0.632, 0.596, 0.606, 0.592, 0.614, 0.572, 0.594, 0.584, 0.606, 0.594, 0.578, 0.59, 0.602, 0.582, 0.6, 0.59, 0.564]",1.0
