round,loss
1,0.068
2,0.1164375
3,0.164375
4,0.26125
5,0.48575
6,0.5125625
7,0.5585625
8,0.57875
9,0.6014375
10,0.6148125
11,0.1624375
12,0.1465
13,0.0549375
14,0.064
15,0.035
16,0.0510625
17,0.0393125
18,0.025
19,0.0384375
20,0.0445625
21,0.048
22,0.04625
23,0.025
24,0.025
25,0.025
26,0.025
27,0.025
28,0.025
29,0.025
30,0.025
31,0.025
32,0.025
33,0.025
34,0.025
35,0.025
36,0.025
37,0.025
38,0.025
39,0.025
40,0.025
41,0.025
42,0.025
43,0.025
44,0.025
45,0.025
46,0.025
47,0.025
48,0.025
49,0.025
50,0.025
