round,accuracy,loss,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,client_accuracies,keep_rate
1,0.916,0.30637359629618005,0.913,0.31683725702168886,0.928,0.2645189533941448,"[0.912, 0.946, 0.878, 0.92, 0.89, 0.888, 0.954, 0.95, 0.908, 0.916, 0.866, 0.952, 0.898, 0.984, 0.882, 0.964, 0.902, 0.89, 0.958, 0.862]",1.0
2,0.9555,0.14425057798507623,0.952125,0.15400375830722624,0.969,0.10523785669647623,"[0.982, 0.932, 0.976, 0.936, 0.952, 0.958, 0.932, 0.938, 0.984, 0.964, 0.998, 0.954, 0.978, 0.986, 0.916, 0.922, 0.982, 0.954, 0.926, 0.94]",1.0
3,0.9659,0.10418049430409156,0.963,0.11234064919835873,0.9775,0.07153987472702283,"[0.978, 0.99, 0.954, 0.946, 0.99, 0.94, 0.96, 0.99, 0.97, 0.97, 0.986, 0.942, 0.996, 0.972, 0.942, 0.938, 0.964, 0.954, 0.986, 0.95]",1.0
4,0.9725,0.08335295706092438,0.969625,0.09057553667526008,0.984,0.05446263860358158,"[0.948, 0.994, 0.954, 0.942, 0.974, 0.96, 0.986, 0.996, 0.988, 0.962, 0.99, 0.974, 0.962, 0.948, 0.978, 0.984, 0.978, 0.958, 0.996, 0.978]",1.0
5,0.9772,0.07056848560714571,0.974375,0.07705089214277905,0.9885,0.044638859464612324,"[0.982, 0.964, 0.996, 0.96, 0.954, 0.98, 0.97, 0.982, 0.986, 0.984, 0.992, 0.98, 0.998, 0.99, 0.95, 0.974, 0.968, 0.956, 0.994, 0.984]",1.0
6,0.9799,0.062074658950677986,0.97725,0.06789379601752898,0.9905,0.03879811068327399,"[0.982, 0.986, 0.964, 0.96, 0.978, 0.988, 0.996, 0.968, 0.994, 0.998, 0.992, 0.952, 0.986, 0.97, 0.984, 0.982, 0.992, 0.986, 0.968, 0.972]",1.0
7,0.9818,0.05568395850696106,0.979375,0.06088344396971479,0.9915,0.03488601665594615,"[0.998, 0.974, 0.988, 0.958, 0.988, 0.986, 0.982, 0.982, 0.986, 0.97, 0.99, 0.98, 0.97, 0.968, 0.976, 0.964, 0.994, 0.992, 0.994, 0.996]",1.0
8,0.983,0.05087631276064712,0.981125,0.055542953475537615,0.9905,0.03220974990108516,"[0.982, 0.982, 0.964, 0.99, 0.994, 0.992, 0.998, 0.994, 0.982, 0.996, 0.972, 0.976, 0.972, 0.98, 0.958, 0.99, 0.982, 0.988, 0.996, 0.972]",1.0
9,0.9846,0.047031786375555384,0.982625,0.05128746496450276,0.9925,0.03000907201976588,"[0.998, 0.98, 1.0, 0.992, 0.996, 0.982, 0.992, 0.962, 0.972, 0.978, 0.964, 0.992, 0.978, 0.984, 0.98, 0.982, 0.994, 0.996, 0.994, 0.976]",1.0
10,0.9852,0.043984070659462304,0.983125,0.0478430667487828,0.9935,0.02854808630218031,"[0.966, 0.984, 0.972, 0.99, 1.0, 0.992, 0.982, 0.998, 0.976, 0.966, 0.98, 0.994, 0.996, 0.994, 0.998, 0.982, 0.982, 0.98, 0.994, 0.978]",1.0
11,0.9631,0.1140475470074307,0.96,0.12137727428262224,0.9755,0.08472863790666452,"[0.974, 0.982, 0.958, 0.954, 0.924, 0.94, 0.94, 0.958, 0.948, 0.992, 0.954, 0.97, 0.972, 0.948, 0.948, 0.982, 0.986, 0.96, 0.984, 0.988]",1.0
12,0.8085,0.705147732468322,0.806375,0.7196003881545039,0.817,0.647337109723594,"[0.824, 0.788, 0.838, 0.794, 0.838, 0.802, 0.802, 0.778, 0.836, 0.9, 0.792, 0.814, 0.806, 0.86, 0.686, 0.834, 0.768, 0.802, 0.846, 0.762]",1.0
13,0.8922,0.45491157530032067,0.889625,0.47109951114043724,0.9025,0.3901598319398545,"[0.876, 0.892, 0.866, 0.884, 0.906, 0.858, 0.896, 0.85, 0.892, 0.886, 0.866, 0.908, 0.848, 0.888, 0.96, 0.884, 0.906, 0.932, 0.896, 0.95]",1.0
14,0.8988,0.4931354497435677,0.895125,0.5184113960664831,0.9135,0.3920316644519062,"[0.878, 0.918, 0.888, 0.886, 0.902, 0.97, 0.914, 0.848, 0.908, 0.904, 0.92, 0.906, 0.898, 0.866, 0.89, 0.866, 0.954, 0.89, 0.922, 0.848]",1.0
15,0.9276,0.32689254012126695,0.925,0.3492643280454963,0.938,0.23740538842434944,"[0.93, 0.892, 0.9, 0.94, 0.932, 0.906, 0.948, 0.95, 0.946, 0.938, 0.892, 0.94, 0.902, 0.906, 0.938, 0.912, 0.984, 0.916, 0.968, 0.912]",1.0
16,0.9228,0.4486317063685263,0.919625,0.47806226203653956,0.9355,0.3309094836964732,"[0.91, 0.918, 0.946, 0.894, 0.94, 0.91, 0.912, 0.928, 0.89, 0.922, 0.904, 0.964, 0.982, 0.926, 0.942, 0.928, 0.91, 0.902, 0.882, 0.946]",1.0
