round,accuracy,loss,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,client_accuracies,keep_rate
1,0.916,0.30637360326945784,0.916,0.30637360326945784,0.0,0.0,"[0.916, 0.89, 0.946, 0.882, 0.89, 0.912, 0.952, 0.908, 0.878, 0.902, 0.964, 0.866, 0.984, 0.958, 0.95, 0.92, 0.888, 0.862, 0.898, 0.954]",1.0
2,0.9555,0.14423038519962575,0.9555,0.14423038519962575,0.0,0.0,"[0.932, 0.94, 0.998, 0.938, 0.922, 0.954, 0.932, 0.952, 0.954, 0.978, 0.926, 0.986, 0.964, 0.916, 0.982, 0.958, 0.984, 0.982, 0.936, 0.976]",1.0
3,0.966,0.10412499544363527,0.966,0.10412499544363527,0.0,0.0,"[0.942, 0.964, 0.972, 0.95, 0.986, 0.99, 0.99, 0.944, 0.996, 0.94, 0.938, 0.97, 0.978, 0.96, 0.97, 0.946, 0.954, 0.99, 0.986, 0.954]",1.0
4,0.9729,0.08311487558585214,0.9729,0.08311487558585214,0.0,0.0,"[0.978, 0.978, 0.944, 0.96, 0.962, 0.962, 0.984, 0.95, 0.958, 0.956, 0.99, 0.986, 0.988, 0.948, 0.994, 0.996, 0.996, 0.976, 0.974, 0.978]",1.0
5,0.9773,0.07060861441696034,0.9773,0.07060861441696034,0.0,0.0,"[0.972, 0.956, 0.99, 0.996, 0.96, 0.992, 0.982, 0.95, 0.966, 0.986, 0.982, 0.982, 0.998, 0.984, 0.962, 0.984, 0.98, 0.96, 0.994, 0.97]",1.0
6,0.9797,0.06205510730442256,0.9797,0.06205510730442256,0.0,0.0,"[0.996, 0.998, 0.986, 0.978, 0.964, 0.952, 0.97, 0.994, 0.968, 0.982, 0.988, 0.992, 0.97, 0.986, 0.984, 0.982, 0.992, 0.986, 0.966, 0.96]",1.0
7,0.982,0.0555914919757015,0.982,0.0555914919757015,0.0,0.0,"[0.964, 0.994, 0.996, 0.982, 0.99, 0.99, 0.958, 0.966, 0.998, 0.992, 0.982, 0.986, 0.988, 0.97, 0.98, 0.976, 0.976, 0.986, 0.994, 0.972]",1.0
8,0.9831,0.05082651778034233,0.9831,0.05082651778034233,0.0,0.0,"[0.972, 0.98, 0.99, 0.996, 0.982, 0.992, 0.972, 0.964, 0.994, 0.996, 0.982, 0.972, 0.998, 0.976, 0.99, 0.98, 0.982, 0.99, 0.994, 0.96]",1.0
9,0.9848,0.04702486588598731,0.9848,0.04702486588598731,0.0,0.0,"[0.962, 0.978, 0.984, 1.0, 0.972, 0.982, 0.984, 0.992, 0.994, 0.998, 0.978, 0.996, 0.992, 0.994, 0.996, 0.992, 0.976, 0.964, 0.982, 0.98]",1.0
10,0.9851,0.043772491927484225,0.9851,0.043772491927484225,0.0,0.0,"[0.994, 0.982, 0.972, 0.988, 0.984, 0.982, 0.998, 0.994, 0.998, 0.966, 0.966, 0.99, 0.996, 0.98, 0.994, 0.976, 0.982, 0.982, 0.978, 1.0]",1.0
