round,loss
1,0.302
2,0.3773
3,0.4267
4,0.4751
5,0.5009
6,0.5256
7,0.5443
8,0.5617
9,0.5787
10,0.5949
11,0.6102
12,0.6279
13,0.6396
14,0.6492
15,0.6598
16,0.6697
17,0.6789
18,0.6864
19,0.6951
20,0.7017
21,0.7079
22,0.7133
23,0.7178
24,0.7225
25,0.7269
26,0.7289
27,0.7339
28,0.7356
29,0.7375
30,0.7394
31,0.7441
32,0.7451
33,0.7479
34,0.7488
35,0.7479
36,0.7498
37,0.7502
38,0.7511
39,0.7509
40,0.7527
41,0.7529
42,0.7532
43,0.7535
44,0.7535
45,0.7544
46,0.7538
47,0.7521
48,0.7521
49,0.7519
50,0.7523
