round,accuracy,loss,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,client_accuracies,keep_rate
1,0.302,1.9758899800479413,0.302,1.9758899800479413,0.0,0.0,"[0.278, 0.31, 0.312, 0.284, 0.264, 0.29, 0.288, 0.326, 0.334, 0.268, 0.332, 0.258, 0.316, 0.316, 0.292, 0.312, 0.318, 0.316, 0.314, 0.312]",1.0
2,0.3773,1.7352246545255183,0.3773,1.7352246545255183,0.0,0.0,"[0.402, 0.376, 0.402, 0.39, 0.37, 0.396, 0.386, 0.372, 0.394, 0.404, 0.382, 0.32, 0.406, 0.336, 0.386, 0.358, 0.37, 0.346, 0.374, 0.376]",1.0
3,0.4267,1.5750648446381093,0.4267,1.5750648446381093,0.0,0.0,"[0.414, 0.432, 0.458, 0.444, 0.412, 0.382, 0.42, 0.422, 0.456, 0.45, 0.436, 0.424, 0.43, 0.404, 0.386, 0.46, 0.432, 0.442, 0.412, 0.418]",1.0
4,0.4751,1.46709001660347,0.4751,1.46709001660347,0.0,0.0,"[0.484, 0.452, 0.476, 0.492, 0.494, 0.484, 0.488, 0.49, 0.49, 0.45, 0.504, 0.452, 0.488, 0.458, 0.47, 0.506, 0.478, 0.438, 0.448, 0.46]",1.0
5,0.5009,1.3900514986366033,0.5009,1.3900514986366033,0.0,0.0,"[0.49, 0.526, 0.5, 0.512, 0.482, 0.516, 0.47, 0.524, 0.516, 0.506, 0.524, 0.5, 0.448, 0.514, 0.496, 0.492, 0.474, 0.462, 0.558, 0.508]",1.0
6,0.5256,1.330885930545628,0.5256,1.330885930545628,0.0,0.0,"[0.584, 0.54, 0.516, 0.46, 0.532, 0.552, 0.488, 0.536, 0.52, 0.492, 0.54, 0.514, 0.5, 0.534, 0.542, 0.548, 0.532, 0.524, 0.54, 0.518]",1.0
7,0.5443,1.2805552031844853,0.5443,1.2805552031844853,0.0,0.0,"[0.55, 0.52, 0.556, 0.554, 0.552, 0.546, 0.552, 0.554, 0.606, 0.49, 0.564, 0.524, 0.568, 0.562, 0.542, 0.538, 0.532, 0.522, 0.512, 0.542]",1.0
8,0.5617,1.235432361625135,0.5617,1.235432361625135,0.0,0.0,"[0.55, 0.552, 0.56, 0.63, 0.534, 0.58, 0.568, 0.586, 0.586, 0.506, 0.578, 0.554, 0.568, 0.552, 0.572, 0.53, 0.564, 0.56, 0.57, 0.534]",1.0
9,0.5787,1.1920046787708998,0.5787,1.1920046787708998,0.0,0.0,"[0.594, 0.58, 0.576, 0.572, 0.59, 0.578, 0.592, 0.604, 0.592, 0.572, 0.584, 0.62, 0.572, 0.568, 0.582, 0.556, 0.556, 0.516, 0.622, 0.548]",1.0
10,0.5949,1.1509259156882763,0.5949,1.1509259156882763,0.0,0.0,"[0.586, 0.584, 0.592, 0.606, 0.592, 0.608, 0.586, 0.636, 0.638, 0.562, 0.614, 0.59, 0.576, 0.574, 0.594, 0.606, 0.55, 0.596, 0.602, 0.606]",1.0
11,0.6102,1.112848298624158,0.6102,1.112848298624158,0.0,0.0,"[0.572, 0.596, 0.654, 0.616, 0.608, 0.608, 0.598, 0.602, 0.608, 0.626, 0.608, 0.576, 0.622, 0.626, 0.59, 0.616, 0.626, 0.602, 0.598, 0.652]",1.0
12,0.6279,1.076044580899179,0.6279,1.076044580899179,0.0,0.0,"[0.632, 0.638, 0.622, 0.616, 0.652, 0.636, 0.626, 0.594, 0.632, 0.674, 0.62, 0.588, 0.63, 0.602, 0.644, 0.632, 0.64, 0.658, 0.632, 0.59]",1.0
13,0.6396,1.0404652355238795,0.6396,1.0404652355238795,0.0,0.0,"[0.638, 0.602, 0.634, 0.66, 0.622, 0.65, 0.648, 0.642, 0.684, 0.65, 0.618, 0.644, 0.678, 0.646, 0.648, 0.634, 0.642, 0.606, 0.638, 0.608]",1.0
14,0.6492,1.009442357160151,0.6492,1.009442357160151,0.0,0.0,"[0.618, 0.642, 0.644, 0.652, 0.618, 0.644, 0.666, 0.662, 0.672, 0.696, 0.664, 0.622, 0.672, 0.66, 0.65, 0.662, 0.618, 0.622, 0.646, 0.654]",1.0
15,0.6598,0.979564861021936,0.6598,0.979564861021936,0.0,0.0,"[0.674, 0.638, 0.704, 0.682, 0.636, 0.68, 0.626, 0.666, 0.632, 0.662, 0.676, 0.658, 0.656, 0.638, 0.652, 0.652, 0.668, 0.658, 0.668, 0.67]",1.0
