round,accuracy,loss,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,client_accuracies,keep_rate
1,0.916,0.30637361605186014,0.913,0.3168372773216106,0.928,0.26451897097285837,"[0.964, 0.954, 0.878, 0.888, 0.916, 0.866, 0.912, 0.946, 0.908, 0.984, 0.89, 0.92, 0.902, 0.882, 0.862, 0.952, 0.958, 0.95, 0.89, 0.898]",1.0
2,0.9555,0.14425363844784442,0.952125,0.15400263603078201,0.969,0.10525764811609406,"[0.954, 0.94, 0.958, 0.922, 0.982, 0.932, 0.986, 0.932, 0.976, 0.998, 0.984, 0.916, 0.978, 0.926, 0.954, 0.938, 0.982, 0.936, 0.952, 0.964]",1.0
3,0.9659,0.10423338885047997,0.963,0.11236941654033217,0.9775,0.07168927809107117,"[0.972, 0.97, 0.986, 0.94, 0.99, 0.964, 0.944, 0.99, 0.944, 0.996, 0.99, 0.954, 0.95, 0.978, 0.942, 0.938, 0.986, 0.954, 0.96, 0.97]",1.0
4,0.9729,0.08316633330668992,0.970375,0.09035748957990108,0.983,0.05440170821384527,"[0.952, 0.976, 0.996, 0.978, 0.948, 0.978, 0.962, 0.962, 0.974, 0.976, 0.986, 0.958, 0.944, 0.988, 0.99, 0.994, 0.962, 0.994, 0.956, 0.984]",1.0
5,0.977,0.07060356942620274,0.974125,0.07707258243158321,0.9885,0.04472751740468084,"[0.948, 0.97, 0.958, 0.956, 0.966, 0.992, 0.994, 0.982, 0.98, 0.962, 0.986, 0.972, 0.96, 0.98, 0.984, 0.982, 0.99, 0.984, 0.996, 0.998]",1.0
6,0.9798,0.06209406871557803,0.977125,0.06789535099085242,0.9905,0.03888893961448048,"[0.984, 0.992, 0.964, 0.952, 0.986, 0.994, 0.982, 0.96, 0.978, 0.996, 0.992, 0.982, 0.998, 0.968, 0.972, 0.986, 0.964, 0.99, 0.97, 0.986]",1.0
7,0.9817,0.05565922192972721,0.979375,0.06090778851682899,0.991,0.0346649555813201,"[0.998, 0.996, 0.988, 0.988, 0.968, 0.968, 0.99, 0.994, 0.958, 0.986, 0.976, 0.986, 0.982, 0.98, 0.992, 0.974, 0.982, 0.992, 0.964, 0.972]",1.0
8,0.9833,0.05074720270313264,0.9815,0.05539077911316781,0.9905,0.03217289706299198,"[0.994, 0.996, 0.982, 0.976, 0.99, 0.998, 0.974, 0.972, 0.992, 0.994, 0.982, 0.992, 0.98, 0.964, 0.996, 0.988, 0.972, 0.96, 0.982, 0.982]",1.0
9,0.9848,0.04707965876327762,0.98275,0.05129974192135478,0.993,0.030199326130968984,"[0.984, 0.998, 0.98, 0.994, 0.992, 0.984, 0.982, 0.994, 0.992, 0.996, 0.966, 0.978, 0.972, 0.98, 0.992, 1.0, 0.978, 0.996, 0.976, 0.962]",1.0
10,0.9852,0.04390421473394781,0.983125,0.04772240965013452,0.9935,0.02863143506920096,"[0.98, 0.998, 0.992, 0.992, 0.98, 0.998, 0.972, 0.966, 0.976, 0.982, 0.966, 1.0, 0.98, 0.982, 0.994, 0.994, 0.996, 0.978, 0.984, 0.994]",1.0
11,0.9855,0.0413441366313009,0.9835,0.044819650653124654,0.9935,0.027442080544005876,"[0.966, 0.984, 1.0, 0.996, 0.98, 0.982, 0.992, 0.994, 0.994, 0.988, 0.982, 0.978, 0.998, 0.994, 0.968, 0.978, 0.984, 0.974, 0.998, 0.98]",1.0
12,0.9863,0.03953310819588296,0.9845,0.042778078552146326,0.9935,0.026553226770829497,"[0.98, 0.994, 0.988, 0.968, 0.978, 0.974, 0.996, 0.984, 0.982, 0.998, 0.984, 1.0, 0.998, 0.986, 0.98, 0.992, 0.998, 0.972, 0.98, 0.994]",1.0
13,0.987,0.03765666950027935,0.985375,0.0406771369627279,0.9935,0.025574799650485147,"[0.972, 0.992, 0.998, 0.996, 0.974, 0.984, 0.982, 0.988, 0.98, 0.982, 0.984, 0.998, 0.968, 0.984, 0.998, 0.986, 0.982, 0.996, 0.996, 1.0]",1.0
