round,loss
1,0.916
2,0.9555
3,0.9661
4,0.9725
5,0.9772
6,0.9799
7,0.9817
8,0.9831
9,0.9846
10,0.9851
11,0.9855
12,0.9863
13,0.9868
14,0.9871
15,0.9876
16,0.9882
17,0.9883
18,0.9884
19,0.989
20,0.9897
21,0.9902
22,0.9903
23,0.9903
24,0.9905
25,0.9905
26,0.9906
27,0.9913
28,0.9913
29,0.9912
30,0.9915
31,0.9917
32,0.9917
33,0.9919
34,0.9921
35,0.9922
36,0.9922
37,0.9923
38,0.9922
39,0.9924
40,0.9924
41,0.9924
42,0.9926
43,0.9926
44,0.9929
45,0.9928
46,0.9928
47,0.9928
48,0.9928
49,0.9927
50,0.9927
