round,loss
1,0.068
2,0.1165
3,0.1525
4,0.243625
5,0.4621875
6,0.5119375
7,0.554
8,0.5773125
9,0.59825
10,0.6140625
11,0.625875
12,0.6373125
13,0.64425
14,0.65325
15,0.6589375
16,0.66525
17,0.6708125
18,0.6765
19,0.6834375
20,0.6868125
21,0.6901875
22,0.69425
23,0.6975
24,0.700875
25,0.702125
26,0.70575
27,0.7081875
28,0.7108125
29,0.7150625
30,0.7161875
31,0.71825
32,0.7195625
33,0.7216875
34,0.7244375
35,0.72625
36,0.728375
37,0.730375
38,0.7318125
39,0.73375
40,0.7334375
41,0.7363125
42,0.734875
43,0.7370625
44,0.735
45,0.7381875
46,0.7386875
47,0.7394375
48,0.739375
49,0.74125
50,0.7409375
