round,accuracy,loss,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,client_accuracies,keep_rate
1,0.068,4.055934823989868,0.068,4.055934823989868,0.0,0.0,"[0.00125, 0.1175, 0.1525, 0.0, 0.00625, 0.0, 0.0, 0.02125, 0.0, 0.05375, 0.00125, 0.0, 0.0, 0.3675, 0.02375, 0.00375, 0.0, 0.0875, 0.41375, 0.11]",1.0
2,0.1165,3.894762134552002,0.1165,3.894762134552002,0.0,0.0,"[0.13375, 0.03875, 0.0, 0.165, 0.14875, 0.0, 0.0, 0.07625, 0.08, 0.0, 0.10375, 0.105, 0.00625, 0.0675, 0.0, 0.3625, 0.0075, 0.485, 0.4075, 0.1425]",1.0
3,0.1525,3.660973708152771,0.1525,3.660973708152771,0.0,0.0,"[0.0, 0.0, 0.21, 0.26125, 0.06, 0.0, 0.11125, 0.43625, 0.035, 0.09, 0.1975, 0.275, 0.20125, 0.00125, 0.14125, 0.0825, 0.335, 0.1925, 0.42, 0.0]",1.0
4,0.243625,3.006378188610077,0.243625,3.006378188610077,0.0,0.0,"[0.23625, 0.32125, 0.23625, 0.12875, 0.00375, 0.04375, 0.0, 0.24625, 0.25375, 0.44, 0.44875, 0.01, 0.3175, 0.02875, 0.22875, 0.4225, 0.3575, 0.2875, 0.27125, 0.59]",1.0
5,0.4621875,2.637830847978592,0.4621875,2.637830847978592,0.0,0.0,"[0.18375, 0.64, 0.62125, 0.49125, 0.6925, 0.41875, 0.3975, 0.54625, 0.59, 0.4225, 0.445, 0.13125, 0.26125, 0.1575, 0.66125, 0.7975, 0.49, 0.335, 0.39375, 0.5675]",1.0
6,0.5119375,2.358903475522995,0.5119375,2.358903475522995,0.0,0.0,"[0.67, 0.72875, 0.5125, 0.58375, 0.49375, 0.2425, 0.5775, 0.57125, 0.37875, 0.56, 0.395, 0.30625, 0.32125, 0.55, 0.63875, 0.61125, 0.59875, 0.59625, 0.24625, 0.65625]",1.0
7,0.554,2.182760202884674,0.554,2.182760202884674,0.0,0.0,"[0.59625, 0.71875, 0.26375, 0.33375, 0.515, 0.2725, 0.42, 0.6025, 0.69, 0.67375, 0.56625, 0.4475, 0.72625, 0.68875, 0.7925, 0.68875, 0.6425, 0.51875, 0.425, 0.4975]",1.0
8,0.5773125,2.0165479369163513,0.5773125,2.0165479369163513,0.0,0.0,"[0.68, 0.375, 0.28375, 0.52375, 0.57875, 0.6225, 0.66875, 0.7, 0.4325, 0.58, 0.6, 0.72375, 0.4025, 0.705, 0.4625, 0.61625, 0.7275, 0.4375, 0.81125, 0.615]",1.0
9,0.59825,1.8754785463809966,0.59825,1.8754785463809966,0.0,0.0,"[0.4225, 0.57, 0.70875, 0.4475, 0.465, 0.64625, 0.6175, 0.58125, 0.455, 0.64125, 0.5475, 0.8225, 0.745, 0.72, 0.7175, 0.62375, 0.72875, 0.74125, 0.43125, 0.3325]",1.0
10,0.6140625,1.7409984753131866,0.6140625,1.7409984753131866,0.0,0.0,"[0.49375, 0.63125, 0.525, 0.74375, 0.5975, 0.625, 0.4175, 0.60375, 0.54625, 0.8225, 0.69375, 0.47, 0.735, 0.6525, 0.6675, 0.72125, 0.73875, 0.50625, 0.745, 0.345]",1.0
11,0.625875,1.6389249005317688,0.625875,1.6389249005317688,0.0,0.0,"[0.47125, 0.74375, 0.54625, 0.75875, 0.63125, 0.73375, 0.605, 0.3875, 0.61375, 0.675, 0.71625, 0.62875, 0.55625, 0.72625, 0.77125, 0.53875, 0.49625, 0.6775, 0.8375, 0.4025]",1.0
12,0.6373125,1.5561118969917298,0.6373125,1.5561118969917298,0.0,0.0,"[0.3725, 0.485, 0.74125, 0.63375, 0.5775, 0.57375, 0.76625, 0.4075, 0.5075, 0.6425, 0.7, 0.8375, 0.73125, 0.69625, 0.745, 0.7225, 0.64, 0.5875, 0.7675, 0.61125]",1.0
13,0.64425,1.4645968651771546,0.64425,1.4645968651771546,0.0,0.0,"[0.7425, 0.39625, 0.3975, 0.7725, 0.7, 0.60875, 0.57125, 0.78375, 0.84, 0.50375, 0.63875, 0.58375, 0.755, 0.52125, 0.63, 0.695, 0.76125, 0.72875, 0.6025, 0.6525]",1.0
14,0.65325,1.3597849777936935,0.65325,1.3597849777936935,0.0,0.0,"[0.775, 0.6475, 0.52125, 0.78625, 0.8475, 0.7075, 0.6225, 0.6675, 0.6425, 0.5725, 0.76125, 0.63125, 0.52625, 0.73875, 0.60125, 0.71125, 0.75125, 0.75625, 0.39375, 0.40375]",1.0
15,0.6589375,1.2933538172245025,0.6589375,1.2933538172245025,0.0,0.0,"[0.6325, 0.6625, 0.785, 0.665, 0.7175, 0.40625, 0.57375, 0.5425, 0.7575, 0.3875, 0.7575, 0.75875, 0.7525, 0.855, 0.645, 0.52375, 0.71625, 0.64125, 0.795, 0.60375]",1.0
16,0.66525,1.2550937106609346,0.66525,1.2550937106609346,0.0,0.0,"[0.7225, 0.77, 0.66625, 0.7625, 0.67, 0.41, 0.77, 0.795, 0.855, 0.545, 0.66, 0.6125, 0.78125, 0.71125, 0.56625, 0.77625, 0.52625, 0.62875, 0.68, 0.39625]",1.0
17,0.6708125,1.2268965607881546,0.6708125,1.2268965607881546,0.0,0.0,"[0.6375, 0.535, 0.565, 0.6725, 0.67625, 0.8, 0.85375, 0.66875, 0.695, 0.7625, 0.7325, 0.41875, 0.5725, 0.7725, 0.7675, 0.40125, 0.61375, 0.7575, 0.72125, 0.7925]",1.0
18,0.6765,1.1929278668165206,0.6765,1.1929278668165206,0.0,0.0,"[0.58, 0.7725, 0.8075, 0.7325, 0.69625, 0.7025, 0.67625, 0.77, 0.63375, 0.85375, 0.67875, 0.57, 0.41375, 0.535, 0.63375, 0.72125, 0.79625, 0.4125, 0.7725, 0.77125]",1.0
19,0.6834375,1.155216410279274,0.6834375,1.155216410279274,0.0,0.0,"[0.805, 0.53625, 0.7775, 0.5925, 0.63125, 0.68, 0.43, 0.4125, 0.7275, 0.78625, 0.745, 0.7075, 0.78375, 0.68, 0.855, 0.73125, 0.7775, 0.79, 0.64, 0.58]",1.0
