round,accuracy,loss,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,client_accuracies,keep_rate
1,0.068,4.05593482542038,0.082109375,4.0595350587368015,0.0115625,4.0415338921546935,"[0.1175, 0.00125, 0.3675, 0.0, 0.0, 0.00625, 0.0, 0.0, 0.00375, 0.0, 0.02125, 0.41375, 0.11, 0.00125, 0.05375, 0.02375, 0.0, 0.0875, 0.1525, 0.0]",1.0
2,0.1159375,3.8949349608421326,0.131015625,3.8942827075719832,0.055625,3.8975439739227293,"[0.0, 0.0725, 0.01, 0.0075, 0.0, 0.16375, 0.13625, 0.0, 0.485, 0.0, 0.10625, 0.10125, 0.40375, 0.06875, 0.03875, 0.355, 0.14375, 0.0, 0.1425, 0.08375]",1.0
3,0.1605,3.635803713321686,0.172578125,3.632618194818497,0.1121875,3.648545787334442,"[0.01875, 0.4075, 0.22375, 0.38125, 0.22, 0.44625, 0.09, 0.13875, 0.0, 0.1575, 0.0025, 0.29, 0.0, 0.13625, 0.0, 0.0925, 0.10875, 0.28625, 0.0, 0.21]",1.0
4,0.2425625,2.9530601377487185,0.24,2.9655094653367997,0.2528125,2.903262827396393,"[0.24125, 0.185, 0.445, 0.31625, 0.13, 0.23875, 0.0025, 0.4125, 0.325, 0.25125, 0.5, 0.3675, 0.0025, 0.04, 0.42125, 0.035, 0.02875, 0.26625, 0.225, 0.4175]",1.0
5,0.479375,2.6154768049716948,0.4815625,2.6154928410053255,0.470625,2.6154126608371735,"[0.47125, 0.61625, 0.45875, 0.50875, 0.4675, 0.58, 0.15875, 0.5475, 0.16625, 0.3175, 0.21, 0.31375, 0.7225, 0.73875, 0.4775, 0.47375, 0.73625, 0.68875, 0.51875, 0.415]",1.0
6,0.5050625,2.3799210546016694,0.51421875,2.3612721893191337,0.4684375,2.4545165157318114,"[0.53375, 0.2375, 0.2325, 0.62625, 0.58, 0.66875, 0.575, 0.63875, 0.5825, 0.4975, 0.3125, 0.39, 0.51375, 0.6425, 0.56, 0.31625, 0.67375, 0.385, 0.4625, 0.6725]",1.0
7,0.5541875,2.1591109988689423,0.560390625,2.1502575966715813,0.529375,2.194524607658386,"[0.425, 0.665, 0.2825, 0.54, 0.68, 0.4425, 0.51, 0.79, 0.57, 0.61, 0.49125, 0.72, 0.73, 0.6675, 0.72625, 0.335, 0.40625, 0.6075, 0.3075, 0.5775]",1.0
8,0.578625,2.013703785419464,0.587734375,1.9981601390242576,0.5421875,2.07587837100029,"[0.45125, 0.68625, 0.59375, 0.59625, 0.495, 0.735, 0.43875, 0.6325, 0.70125, 0.60625, 0.435, 0.80875, 0.70625, 0.40125, 0.55375, 0.31, 0.58375, 0.7175, 0.4275, 0.6925]",1.0
9,0.5993125,1.8597370820045471,0.608828125,1.8462417539954186,0.56125,1.9137183940410614,"[0.715, 0.74875, 0.7375, 0.70375, 0.4425, 0.45625, 0.73875, 0.4475, 0.44125, 0.8225, 0.62625, 0.42625, 0.62, 0.575, 0.5425, 0.5975, 0.72875, 0.6375, 0.63875, 0.34]",1.0
10,0.6151875,1.7271315350532532,0.626015625,1.7112802663445472,0.571875,1.7905366098880768,"[0.62625, 0.7275, 0.47, 0.74875, 0.54, 0.72375, 0.64625, 0.755, 0.83375, 0.54125, 0.62375, 0.6025, 0.51375, 0.71875, 0.58, 0.365, 0.6575, 0.745, 0.40375, 0.48125]",1.0
11,0.6233125,1.6394188673496246,0.633671875,1.6288421303033829,0.581875,1.6817258155345918,"[0.78125, 0.59375, 0.56875, 0.83, 0.4525, 0.47875, 0.65625, 0.60625, 0.6375, 0.70625, 0.48375, 0.52375, 0.36625, 0.53375, 0.7175, 0.6775, 0.755, 0.75, 0.595, 0.7525]",1.0
12,0.6310625,1.5606024973392487,0.64375,1.5443089935183525,0.5803125,1.6257765126228332,"[0.785, 0.62875, 0.5375, 0.48625, 0.60875, 0.495, 0.3625, 0.695, 0.76125, 0.52875, 0.72625, 0.74875, 0.6925, 0.61625, 0.43625, 0.72375, 0.7225, 0.63375, 0.6, 0.8325]",1.0
13,0.639,1.4658512703180313,0.64671875,1.4531604333221912,0.608125,1.5166146183013915,"[0.83, 0.72125, 0.63875, 0.7675, 0.77875, 0.65875, 0.67125, 0.50375, 0.39875, 0.6075, 0.4025, 0.62375, 0.74375, 0.53, 0.59625, 0.70875, 0.7475, 0.57375, 0.53, 0.7475]",1.0
14,0.6418125,1.3829053345918656,0.65390625,1.3637406888604164,0.5934375,1.459563917517662,"[0.56875, 0.7375, 0.65625, 0.59375, 0.745, 0.8425, 0.66125, 0.69875, 0.53375, 0.77875, 0.51875, 0.725, 0.8, 0.365, 0.6525, 0.51125, 0.73, 0.4125, 0.6025, 0.7025]",1.0
15,0.6435625,1.3452843729257584,0.65265625,1.3286326204240322,0.6071875,1.411891382932663,"[0.64625, 0.49625, 0.8025, 0.82875, 0.49875, 0.71375, 0.7325, 0.6175, 0.72375, 0.61625, 0.775, 0.41375, 0.60625, 0.65, 0.665, 0.36375, 0.6975, 0.73625, 0.5425, 0.745]",1.0
16,0.6465625,1.312498677968979,0.656875,1.2921958926320076,0.6053125,1.393709819316864,"[0.7675, 0.50625, 0.7375, 0.8, 0.72, 0.5, 0.6125, 0.83625, 0.72375, 0.39875, 0.6, 0.66875, 0.62625, 0.74, 0.54625, 0.695, 0.6575, 0.35125, 0.6975, 0.74625]",1.0
17,0.642875,1.299165322780609,0.6509375,1.2814484725892543,0.610625,1.3700327235460281,"[0.54375, 0.79, 0.51125, 0.83125, 0.625, 0.7375, 0.4, 0.605, 0.49375, 0.65, 0.7625, 0.74, 0.7125, 0.35375, 0.57625, 0.7, 0.71, 0.66625, 0.75375, 0.695]",1.0
18,0.643,1.2700617357492447,0.65140625,1.2514221881330014,0.609375,1.3446199262142182,"[0.77875, 0.35, 0.83125, 0.56625, 0.50125, 0.64, 0.74125, 0.60375, 0.75, 0.66125, 0.75, 0.7075, 0.585, 0.6975, 0.70625, 0.67625, 0.73625, 0.4925, 0.38, 0.705]",1.0
19,0.645625,1.244281705737114,0.65359375,1.225134045034647,0.61375,1.3208723485469818,"[0.74375, 0.68375, 0.34625, 0.41875, 0.58, 0.75, 0.5375, 0.52125, 0.6625, 0.77375, 0.74625, 0.71625, 0.67, 0.505, 0.75, 0.7, 0.7, 0.7025, 0.83125, 0.57375]",1.0
20,0.648625,1.2197258794307708,0.656796875,1.2021207584440707,0.6159375,1.2901463633775712,"[0.69, 0.5375, 0.45125, 0.75, 0.78, 0.67375, 0.8275, 0.51375, 0.75125, 0.3325, 0.505, 0.6975, 0.6875, 0.585, 0.72375, 0.74375, 0.7425, 0.5925, 0.70375, 0.68375]",1.0
21,0.64,1.2233230394124985,0.64703125,1.206505404561758,0.611875,1.29059357881546,"[0.68875, 0.41625, 0.32375, 0.56125, 0.49625, 0.76, 0.48875, 0.675, 0.6725, 0.58375, 0.81875, 0.78125, 0.685, 0.7425, 0.68375, 0.735, 0.69875, 0.67, 0.565, 0.75375]",1.0
22,0.6406875,1.2069143340587616,0.64765625,1.1909819380939006,0.6128125,1.2706439179182052,"[0.7725, 0.68125, 0.5175, 0.32875, 0.64625, 0.73875, 0.70375, 0.49875, 0.73125, 0.57125, 0.815, 0.58125, 0.66875, 0.41125, 0.5375, 0.7425, 0.7525, 0.69875, 0.69625, 0.72]",1.0
23,0.635875,1.2098039547801018,0.643671875,1.193267967030406,0.6046875,1.275947905778885,"[0.68625, 0.43, 0.81625, 0.5925, 0.29125, 0.56, 0.72875, 0.705, 0.675, 0.77, 0.725, 0.4775, 0.75375, 0.68625, 0.5, 0.755, 0.6775, 0.66375, 0.65875, 0.565]",1.0
24,0.63325,1.2027538388967514,0.6384375,1.1883263216912747,0.6125,1.2604639077186583,"[0.325, 0.705, 0.575, 0.7425, 0.77, 0.6825, 0.65875, 0.8025, 0.75, 0.5275, 0.72375, 0.71375, 0.68125, 0.52625, 0.41, 0.6275, 0.47375, 0.74625, 0.53, 0.69375]",1.0
25,0.632375,1.198134067595005,0.639140625,1.1823840440064668,0.6053125,1.2611341619491576,"[0.55375, 0.43, 0.75125, 0.6625, 0.3, 0.73, 0.68625, 0.515, 0.76625, 0.68375, 0.4625, 0.71, 0.8075, 0.57, 0.67625, 0.715, 0.6775, 0.55375, 0.75125, 0.645]",1.0
26,0.628375,1.1989444719552993,0.632578125,1.18693555906415,0.6115625,1.2469801235198974,"[0.69125, 0.6375, 0.73875, 0.6775, 0.56625, 0.7625, 0.8025, 0.34125, 0.465, 0.7125, 0.52375, 0.535, 0.6675, 0.3925, 0.735, 0.6925, 0.745, 0.53375, 0.62625, 0.72125]",1.0
27,0.6250625,1.2037397412657738,0.63140625,1.1870413576811552,0.5996875,1.270533275604248,"[0.54875, 0.67625, 0.72375, 0.675, 0.47625, 0.75, 0.79625, 0.415, 0.71125, 0.515, 0.775, 0.55625, 0.525, 0.6575, 0.7525, 0.6375, 0.6375, 0.30125, 0.7025, 0.66875]",1.0
28,0.622,1.206259796142578,0.625,1.198436798900366,0.61,1.2375517851114273,"[0.68, 0.72875, 0.53375, 0.63625, 0.695, 0.6725, 0.7875, 0.5325, 0.635, 0.44125, 0.54125, 0.7775, 0.51, 0.7, 0.7275, 0.7075, 0.40125, 0.34, 0.66375, 0.72875]",1.0
29,0.6175,1.2089689652919768,0.6228125,1.1951062259078027,0.59625,1.2644199228286743,"[0.425, 0.74, 0.7875, 0.52625, 0.71875, 0.4775, 0.75, 0.70625, 0.31875, 0.51875, 0.5425, 0.635, 0.615, 0.66125, 0.66875, 0.70625, 0.72625, 0.54, 0.6575, 0.62875]",1.0
30,0.6074375,1.2429817599654198,0.609296875,1.237607559785247,0.6,1.2644785606861115,"[0.39125, 0.7175, 0.68875, 0.66625, 0.6175, 0.34375, 0.47, 0.42375, 0.61875, 0.68875, 0.72375, 0.7, 0.66125, 0.7625, 0.5325, 0.7925, 0.53375, 0.52625, 0.65, 0.64]",1.0
31,0.6049375,1.2514186248779298,0.610546875,1.2382699524611234,0.5825,1.3040133145451547,"[0.54125, 0.61125, 0.29625, 0.41375, 0.50625, 0.46625, 0.6875, 0.52625, 0.66375, 0.73, 0.74125, 0.64, 0.665, 0.77375, 0.69625, 0.69375, 0.62125, 0.58125, 0.71625, 0.5275]",1.0
32,0.6014375,1.2633642236590386,0.6009375,1.2612492687255143,0.6034375,1.2718240433931352,"[0.60125, 0.6325, 0.50375, 0.64875, 0.4, 0.78125, 0.59875, 0.505, 0.375, 0.74125, 0.6825, 0.7125, 0.52875, 0.4425, 0.71625, 0.61, 0.67875, 0.69375, 0.705, 0.47125]",1.0
33,0.5960625,1.2772795987725258,0.60203125,1.261217630431056,0.5721875,1.341527472138405,"[0.67875, 0.64, 0.46125, 0.54125, 0.64125, 0.66125, 0.63875, 0.39875, 0.70875, 0.5575, 0.6775, 0.49375, 0.78, 0.7125, 0.73375, 0.5625, 0.2875, 0.69875, 0.51, 0.5375]",1.0
34,0.5898125,1.3012345883846284,0.587421875,1.3003409489989282,0.599375,1.3048091459274291,"[0.3825, 0.6975, 0.705, 0.6375, 0.45875, 0.6325, 0.77125, 0.5, 0.5275, 0.59, 0.7225, 0.69, 0.55625, 0.5, 0.63875, 0.45125, 0.3825, 0.67375, 0.6775, 0.60125]",1.0
35,0.587875,1.314126567363739,0.5925,1.2992062710225583,0.569375,1.3738077527284622,"[0.69375, 0.765, 0.39625, 0.58125, 0.71125, 0.52375, 0.60875, 0.6475, 0.67375, 0.6575, 0.50125, 0.72625, 0.44875, 0.67, 0.48, 0.52, 0.6725, 0.5525, 0.3025, 0.625]",1.0
36,0.5853125,1.31974688154459,0.5828125,1.3173385605961085,0.5953125,1.3293801653385162,"[0.65625, 0.4925, 0.62375, 0.41125, 0.7725, 0.53625, 0.6075, 0.63375, 0.70125, 0.67875, 0.67875, 0.35625, 0.50125, 0.71125, 0.47, 0.69875, 0.43875, 0.56625, 0.53625, 0.635]",1.0
37,0.576375,1.3490730404853821,0.579375,1.3375846795737742,0.564375,1.395026484131813,"[0.67125, 0.44125, 0.49125, 0.69875, 0.4675, 0.605, 0.53375, 0.74875, 0.6175, 0.69375, 0.61625, 0.675, 0.61625, 0.685, 0.29375, 0.53125, 0.6725, 0.5225, 0.55, 0.39625]",1.0
