round,accuracy,loss,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,client_accuracies,keep_rate
1,0.068,4.055934822082519,0.082109375,4.059535056352615,0.0115625,4.041533885002136,"[0.0, 0.0, 0.0, 0.0, 0.00375, 0.3675, 0.0, 0.1175, 0.05375, 0.0875, 0.00625, 0.00125, 0.41375, 0.00125, 0.11, 0.02125, 0.0, 0.1525, 0.0, 0.02375]",1.0
2,0.1165625,3.8947440423965456,0.131875,3.8940225934982298,0.0553125,3.897629837989807,"[0.105, 0.0, 0.0, 0.0, 0.365, 0.13375, 0.0675, 0.14625, 0.03875, 0.07875, 0.105, 0.165, 0.0, 0.00625, 0.0, 0.0725, 0.14625, 0.485, 0.0075, 0.40875]",1.0
3,0.17075,3.552491614341736,0.1884375,3.5482977759838104,0.1,3.5692669677734377,"[0.34625, 0.22625, 0.24125, 0.11875, 0.0, 0.455, 0.0, 0.00625, 0.00625, 0.32, 0.0, 0.32375, 0.355, 0.0975, 0.08375, 0.37375, 0.0, 0.21625, 0.16875, 0.07625]",1.0
4,0.2739375,2.940615265369415,0.27609375,2.9522137206792833,0.2653125,2.894221444129944,"[0.41625, 0.38125, 0.0875, 0.41, 0.0325, 0.0825, 0.055, 0.53375, 0.21, 0.43, 0.455, 0.2375, 0.2575, 0.38375, 0.46, 0.34875, 0.19375, 0.0075, 0.16625, 0.33]",1.0
5,0.4856875,2.5978922829627993,0.483828125,2.5979565480351448,0.493125,2.597635222673416,"[0.72125, 0.2075, 0.49875, 0.63875, 0.48, 0.18375, 0.2975, 0.1825, 0.4, 0.52875, 0.53, 0.42875, 0.6975, 0.37375, 0.58875, 0.5375, 0.6675, 0.73875, 0.51375, 0.49875]",1.0
6,0.5195,2.3696530723571776,0.526484375,2.3552641755342485,0.4915625,2.4272086596488953,"[0.5525, 0.66625, 0.50875, 0.355, 0.67625, 0.59, 0.24875, 0.775, 0.42125, 0.57875, 0.67375, 0.23625, 0.56625, 0.4025, 0.47625, 0.66125, 0.4525, 0.5825, 0.2925, 0.67375]",1.0
7,0.5560625,2.184843363046646,0.5628125,2.1772579076886176,0.5290625,2.21518518447876,"[0.42125, 0.7075, 0.54125, 0.7025, 0.35375, 0.66375, 0.6125, 0.82125, 0.42875, 0.6625, 0.51875, 0.29375, 0.31875, 0.72125, 0.54625, 0.51, 0.58, 0.7225, 0.38625, 0.60875]",1.0
8,0.577625,2.0195940153598784,0.5865625,2.0057173481583597,0.541875,2.0751006841659545,"[0.62875, 0.31125, 0.44875, 0.56875, 0.82875, 0.405, 0.4575, 0.4275, 0.7025, 0.585, 0.70125, 0.65875, 0.725, 0.42375, 0.715, 0.585, 0.5075, 0.7275, 0.53125, 0.61375]",1.0
9,0.6000625,1.860230157852173,0.610703125,1.8468540269136429,0.5575,1.9137346816062928,"[0.5925, 0.72875, 0.72625, 0.7325, 0.7375, 0.635, 0.45625, 0.44375, 0.71, 0.4475, 0.64625, 0.73375, 0.83875, 0.35, 0.6, 0.42625, 0.58875, 0.63, 0.42375, 0.55375]",1.0
10,0.615,1.7277987537384034,0.6240625,1.7149191308021545,0.57875,1.7793172454833985,"[0.555, 0.62, 0.60625, 0.745, 0.74, 0.6625, 0.5125, 0.7325, 0.71625, 0.47625, 0.5725, 0.40875, 0.6775, 0.35375, 0.8375, 0.51875, 0.605, 0.75125, 0.72875, 0.48]",1.0
