round,accuracy,loss,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,update_norm,client_accuracies,keep_rate
1,0.9174,0.3006853800616227,0.913875,0.3110347592883045,0.9315,0.2592878631548956,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.904, 0.9, 0.88, 0.904, 0.956, 0.884, 0.96, 0.946, 0.918, 0.922, 0.958, 0.89, 0.86, 0.908, 0.986, 0.95, 0.948, 0.916, 0.866, 0.892]",1.0
2,0.9545,0.14509442259804928,0.951125,0.15464996032915224,0.968,0.10687227167363744,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.948, 0.974, 0.982, 0.922, 0.998, 0.95, 0.94, 0.936, 0.922, 0.934, 0.956, 0.912, 0.976, 0.952, 0.934, 0.984, 0.964, 0.984, 0.984, 0.938]",1.0
3,0.966,0.10493189905646431,0.963125,0.11309149849466849,0.9775,0.07229350130364764,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.992, 0.942, 0.968, 0.958, 0.992, 0.972, 0.97, 0.966, 0.984, 0.938, 0.944, 0.942, 0.986, 0.938, 0.95, 0.988, 0.954, 0.956, 0.996, 0.984]",1.0
4,0.9723,0.08330613389280188,0.969875,0.09030005050794898,0.982,0.05533046743221348,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.974, 0.974, 0.958, 0.988, 0.996, 0.942, 0.96, 0.978, 0.986, 0.97, 0.95, 0.982, 0.992, 0.954, 0.948, 0.966, 0.978, 0.966, 0.994, 0.99]",1.0
5,0.9766,0.0705492302089624,0.97375,0.07676984537170028,0.988,0.045666769558010856,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.996, 0.97, 0.956, 0.99, 0.988, 0.966, 0.968, 0.994, 0.968, 0.98, 0.948, 0.978, 0.98, 0.958, 0.984, 0.984, 0.982, 0.998, 0.986, 0.958]",1.0
6,0.9796,0.06241459714537996,0.976875,0.06808569575002821,0.9905,0.039730202726786956,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.992, 0.99, 0.968, 0.998, 0.984, 0.972, 0.996, 0.98, 0.974, 0.996, 0.96, 0.99, 0.982, 0.986, 0.952, 0.962, 0.968, 0.97, 0.984, 0.988]",1.0
7,0.9815,0.05608404305430668,0.979,0.061158430819546084,0.9915,0.035786491993349046,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.954, 0.992, 0.98, 0.992, 0.982, 0.966, 0.994, 0.982, 0.99, 0.976, 0.998, 0.996, 0.994, 0.97, 0.986, 0.972, 0.984, 0.97, 0.966, 0.986]",1.0
8,0.9831,0.05109686304599563,0.981,0.05563514372846612,0.9915,0.03294374031611369,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.98, 0.982, 0.988, 0.992, 0.982, 0.998, 0.966, 0.982, 0.994, 0.976, 0.99, 0.99, 0.982, 0.994, 0.978, 0.97, 0.958, 0.966, 0.996, 0.998]",1.0
9,0.9842,0.04750469770219752,0.982125,0.05168124177401978,0.9925,0.030798521414908464,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.992, 0.98, 0.982, 0.978, 0.984, 0.994, 0.97, 0.966, 0.99, 0.996, 0.97, 0.982, 0.962, 1.0, 0.998, 0.992, 0.992, 0.98, 0.996, 0.98]",1.0
10,0.9853,0.04443366101356787,0.983375,0.04819589824623449,0.993,0.029384712082901387,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.994, 0.976, 0.996, 0.982, 0.992, 0.964, 0.962, 0.994, 1.0, 0.994, 0.98, 0.98, 0.984, 0.988, 0.99, 0.982, 0.972, 0.998, 0.982, 0.996]",1.0
