round,accuracy,loss,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,update_norm,client_accuracies,keep_rate
1,0.3029,1.9738288391381502,0.3029,1.9738288391381502,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.322, 0.272, 0.282, 0.296, 0.268, 0.318, 0.302, 0.312, 0.322, 0.336, 0.262, 0.268, 0.324, 0.31, 0.32, 0.314, 0.322, 0.32, 0.262, 0.326]",1.0
2,0.3788,1.7326708618551492,0.3788,1.7326708618551492,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.378, 0.336, 0.388, 0.406, 0.406, 0.332, 0.38, 0.368, 0.384, 0.374, 0.4, 0.38, 0.382, 0.392, 0.398, 0.38, 0.384, 0.36, 0.348, 0.4]",1.0
3,0.428,1.5703938987106085,0.428,1.5703938987106085,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.396, 0.464, 0.428, 0.454, 0.434, 0.43, 0.414, 0.462, 0.42, 0.418, 0.408, 0.424, 0.392, 0.436, 0.448, 0.45, 0.414, 0.418, 0.422, 0.428]",1.0
4,0.4734,1.4688003893941641,0.4734,1.4688003893941641,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.474, 0.48, 0.48, 0.49, 0.43, 0.524, 0.48, 0.488, 0.446, 0.45, 0.47, 0.468, 0.498, 0.468, 0.448, 0.512, 0.496, 0.44, 0.476, 0.45]",1.0
5,0.5007,1.3862839996814729,0.5007,1.3862839996814729,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.488, 0.512, 0.554, 0.512, 0.462, 0.47, 0.508, 0.51, 0.522, 0.492, 0.514, 0.522, 0.516, 0.468, 0.514, 0.486, 0.45, 0.53, 0.478, 0.506]",1.0
6,0.5255,1.3301499903202056,0.5255,1.3301499903202056,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.542, 0.53, 0.534, 0.504, 0.496, 0.542, 0.51, 0.528, 0.536, 0.528, 0.532, 0.518, 0.504, 0.568, 0.544, 0.532, 0.462, 0.524, 0.534, 0.542]",1.0
7,0.5414,1.2806590307503938,0.5414,1.2806590307503938,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.542, 0.546, 0.548, 0.554, 0.516, 0.552, 0.532, 0.536, 0.55, 0.49, 0.51, 0.56, 0.52, 0.562, 0.558, 0.556, 0.544, 0.6, 0.514, 0.538]",1.0
8,0.558,1.235122854821384,0.558,1.235122854821384,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.564, 0.538, 0.56, 0.556, 0.564, 0.564, 0.532, 0.526, 0.542, 0.586, 0.612, 0.578, 0.49, 0.568, 0.578, 0.54, 0.556, 0.562, 0.576, 0.568]",1.0
9,0.5774,1.1922134825959803,0.5774,1.1922134825959803,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.572, 0.59, 0.572, 0.592, 0.564, 0.588, 0.52, 0.56, 0.586, 0.552, 0.624, 0.61, 0.566, 0.578, 0.594, 0.59, 0.58, 0.54, 0.588, 0.582]",1.0
10,0.5945,1.1506494121626019,0.5945,1.1506494121626019,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.578, 0.594, 0.572, 0.604, 0.582, 0.636, 0.598, 0.608, 0.644, 0.6, 0.604, 0.546, 0.562, 0.602, 0.602, 0.592, 0.582, 0.598, 0.592, 0.594]",1.0
