round,accuracy,loss,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,update_norm,client_accuracies,keep_rate
1,0.0097,4.606389628350735,0.012125,4.599227467551827,0.0,4.635038271546364,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
2,0.0077,4.61358151435852,0.009625,4.5822581965476274,0.0,4.738874785602093,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.138, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012, 0.0, 0.0]",1.0
3,0.0239,4.59501112550497,0.029875,4.568112449720502,0.0,4.702605828642845,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.008, 0.0, 0.0, 0.0, 0.042, 0.02, 0.158, 0.0, 0.0, 0.01, 0.0, 0.0, 0.03, 0.0, 0.0, 0.092, 0.118, 0.0, 0.0]",1.0
4,0.0355,4.570741061866284,0.044375,4.5132210701704025,0.0,4.800821028649807,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.06, 0.0, 0.01, 0.0, 0.0, 0.0, 0.028, 0.0, 0.014, 0.002, 0.178, 0.162, 0.0, 0.0, 0.086, 0.144, 0.026, 0.0, 0.0, 0.0]",1.0
5,0.0437,4.538034996390342,0.054375,4.4716721680015326,0.001,4.803486309945583,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.064, 0.0, 0.012, 0.0, 0.006, 0.116, 0.176, 0.02, 0.104, 0.078, 0.006, 0.0, 0.0, 0.162, 0.126, 0.0, 0.0, 0.0, 0.004]",1.0
6,0.0483,4.513066357374191,0.057375,4.436095055192709,0.012,4.8209515661001205,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.194, 0.15, 0.064, 0.048, 0.024, 0.0, 0.088, 0.004, 0.0, 0.082, 0.156, 0.032, 0.108, 0.008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008]",1.0
7,0.0582,4.49161609262228,0.067375,4.399664891883731,0.0215,4.859420895576477,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.046, 0.11, 0.0, 0.014, 0.066, 0.0, 0.002, 0.072, 0.066, 0.188, 0.15, 0.058, 0.02, 0.07, 0.0, 0.0, 0.028, 0.084, 0.19, 0.0]",1.0
8,0.0689,4.473410530388355,0.0785,4.364927950315177,0.0305,4.9073408506810665,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.112, 0.066, 0.0, 0.084, 0.058, 0.0, 0.212, 0.188, 0.076, 0.114, 0.062, 0.03, 0.096, 0.0, 0.05, 0.056, 0.14, 0.034]",1.0
9,0.0781,4.449983789771795,0.088,4.329407752491534,0.0385,4.932287938892841,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.126, 0.0, 0.138, 0.0, 0.09, 0.108, 0.0, 0.054, 0.064, 0.0, 0.052, 0.21, 0.128, 0.096, 0.1, 0.066, 0.062, 0.222, 0.046]",1.0
10,0.0849,4.430506744980812,0.095875,4.297340360470116,0.041,4.963172283023596,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.002, 0.0, 0.152, 0.088, 0.162, 0.056, 0.05, 0.102, 0.14, 0.092, 0.242, 0.072, 0.0, 0.052, 0.068, 0.23, 0.0, 0.0, 0.078, 0.112]",1.0
