round,loss
1,0.08575
2,0.120125
3,0.136
4,0.3770625
5,0.411
6,0.4563125
7,0.468
8,0.4911875
9,0.502125
10,0.5121875
11,0.4404375
12,0.5161875
13,0.5330625
14,0.5388125
15,0.5523125
16,0.5583125
17,0.567
18,0.570125
19,0.5763125
20,0.5803125
21,0.5851875
22,0.588375
23,0.5919375
24,0.593625
25,0.5964375
26,0.598375
27,0.5983125
28,0.603875
29,0.6043125
30,0.6083125
31,0.6085
32,0.612
33,0.6095
34,0.61525
35,0.61175
36,0.6185625
37,0.6145
38,0.620875
39,0.614625
40,0.62075
41,0.61575
42,0.618625
43,0.617125
44,0.62075
45,0.618875
46,0.6228125
47,0.6199375
48,0.6223125
49,0.618125
50,0.6234375
