round,loss
1,0.08575
2,0.120125
3,0.136
4,0.3770625
5,0.411
6,0.4563125
7,0.468
8,0.4911875
9,0.502125
10,0.5121875
11,0.5194375
12,0.52925
13,0.535375
14,0.5401875
15,0.54725
16,0.5485
17,0.5551875
18,0.5581875
19,0.561625
20,0.5641875
21,0.5695
22,0.5684375
23,0.5749375
24,0.5734375
25,0.5776875
26,0.57675
27,0.5808125
28,0.57975
29,0.584875
30,0.5834375
31,0.585625
32,0.5836875
33,0.587875
34,0.584625
35,0.58675
36,0.585125
37,0.58525
38,0.58325
39,0.5845
40,0.5839375
41,0.585125
42,0.5874375
43,0.5885
44,0.5924375
45,0.5903125
46,0.593375
47,0.592125
48,0.594375
49,0.594
50,0.5935
