round,loss
1,0.9174
2,0.9545
3,0.966
4,0.9723
5,0.9766
6,0.9796
7,0.9815
8,0.9831
9,0.9842
10,0.9853
11,0.9861
12,0.9859
13,0.9869
14,0.9873
15,0.9875
16,0.9876
17,0.9883
18,0.9888
19,0.9889
20,0.9891
21,0.9892
22,0.9893
23,0.9892
24,0.9903
25,0.9902
26,0.9904
27,0.9908
28,0.9911
29,0.9911
30,0.9911
31,0.9912
32,0.9912
33,0.9914
34,0.9914
35,0.9913
36,0.9915
37,0.9914
38,0.992
39,0.9921
40,0.9922
41,0.9921
42,0.9924
43,0.9923
44,0.9924
45,0.9923
46,0.9923
47,0.9924
48,0.9923
49,0.9924
50,0.9921
