round,accuracy,loss,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,update_norm,client_accuracies,keep_rate
1,0.9174,0.3006853800616227,0.9174,0.3006853800616227,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.95, 0.918, 0.956, 0.86, 0.9, 0.88, 0.904, 0.948, 0.892, 0.904, 0.884, 0.916, 0.922, 0.96, 0.946, 0.986, 0.866, 0.958, 0.89, 0.908]",1.0
2,0.9545,0.14509442259804928,0.9545,0.14509442259804928,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.934, 0.952, 0.964, 0.936, 0.976, 0.934, 0.938, 0.912, 0.998, 0.94, 0.984, 0.982, 0.922, 0.984, 0.948, 0.974, 0.922, 0.956, 0.95, 0.984]",1.0
3,0.966,0.10493189905646431,0.966,0.10493189905646431,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.942, 0.97, 0.95, 0.942, 0.972, 0.938, 0.984, 0.956, 0.938, 0.966, 0.992, 0.992, 0.986, 0.996, 0.944, 0.954, 0.968, 0.958, 0.988, 0.984]",1.0
4,0.9723,0.08330613389280188,0.9723,0.08330613389280188,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.966, 0.97, 0.978, 0.988, 0.942, 0.982, 0.95, 0.986, 0.978, 0.96, 0.974, 0.974, 0.966, 0.948, 0.996, 0.99, 0.958, 0.992, 0.954, 0.994]",1.0
5,0.9766,0.0705492302089624,0.9766,0.0705492302089624,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.988, 0.97, 0.996, 0.98, 0.98, 0.978, 0.966, 0.986, 0.948, 0.984, 0.984, 0.998, 0.982, 0.994, 0.956, 0.958, 0.968, 0.968, 0.958, 0.99]",1.0
6,0.9796,0.06241459714537996,0.9796,0.06241459714537996,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.96, 0.984, 0.988, 0.984, 0.974, 0.998, 0.968, 0.996, 0.97, 0.986, 0.952, 0.972, 0.99, 0.968, 0.962, 0.98, 0.996, 0.99, 0.992, 0.982]",1.0
7,0.9815,0.05608404305430668,0.9815,0.05608404305430668,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.996, 0.99, 0.972, 0.998, 0.982, 0.982, 0.994, 0.986, 0.984, 0.992, 0.97, 0.992, 0.976, 0.966, 0.98, 0.954, 0.966, 0.986, 0.994, 0.97]",1.0
8,0.9831,0.05109686304599563,0.9831,0.05109686304599563,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.97, 0.988, 0.982, 0.978, 0.994, 0.994, 0.98, 0.982, 0.966, 0.99, 0.992, 0.99, 0.958, 0.976, 0.996, 0.982, 0.982, 0.998, 0.966, 0.998]",1.0
9,0.9842,0.04750469770219752,0.9842,0.04750469770219752,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.962, 0.98, 0.992, 0.97, 0.98, 0.992, 0.996, 0.99, 0.992, 0.978, 0.98, 0.966, 0.994, 0.982, 1.0, 0.97, 0.982, 0.996, 0.998, 0.984]",1.0
10,0.9853,0.04443366101356787,0.9853,0.04443366101356787,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.992, 0.982, 0.984, 0.998, 0.994, 0.98, 0.982, 0.98, 0.964, 0.994, 0.988, 0.972, 0.994, 1.0, 0.962, 0.976, 0.982, 0.996, 0.99, 0.996]",1.0
